Gene1	Gene2
A1BG	CRISP3
A1CF	CELF2
A1CF	SYNCRIP
A1CF	APOBEC1
A1CF	KHSRP
A2M	ATF7IP
A2M	ADAMTS1
A2M	CTSE
A2M	CTSB
A2M	PAEP
A2M	ANXA6
A2M	ADAM19
A2M	B2M
A2M	HSPA5
AAAS	NUP160
AAAS	NUP54
AAAS	NUP107
AAAS	NCBP1
AAAS	RAE1
AAAS	RANGAP1
AAGAB	UNC119
AAK1	CLTCL1
AAK1	GAK
AAK1	EPS15
AAK1	HIP1R
AAK1	AP2M1
AAK1	EPN1
AAK1	ITSN1
AAK1	NECAP2
AAK1	DNM3
AAK1	PICALM
AAK1	CLTC
AAK1	AP2A1
AAK1	ITSN2
AAK1	WASL
AAK1	AP2B1
AAK1	HSPA8
AAK1	EPN2
AAK1	DNM2
AAK1	SYNJ2
AAK1	SNAP91
AAK1	NECAP1
AAK1	DNAJC6
AAK1	ACTR2
AAK1	DNM1
AAK1	STON2
AAK1	AP2A2
AAK1	AMPH
AAK1	AP2S1
AAK1	PIK3C2A
AAMP	NELFCD
AANAT	F2
AAR2	GJA5
AARS	EEF1B2
AARS2	MEGF10
AASDHPPT	MDFI
AASDHPPT	TRAF2
AASS	MYC
AASS	PXN
AATF	TSG101
AATF	RELA
AATF	ATM
AATF	DAPK3
AATF	RB1
AATF	ATR
AATF	POLR2J
AATF	MPHOSPH6
AATF	RBL1
AATF	PAWR
AATF	RBL2
AATF	SP1
AATF	DAZAP2
AATF	LDOC1
AATF	CHEK1
AATK	STK39
ABAT	CRK
ABCA1	SNTB1
ABCA1	SNTB2
ABCA1	DTNB
ABCA1	GOPC
ABCA1	CSNK2A1
ABCA1	CREBBP
ABCA1	SNTA1
ABCA1	ARHGEF11
ABCA1	XPC
ABCA1	FADD
ABCA1	PRKACA
ABCA1	PDLIM4
ABCA2	ABCB6
ABCA2	ATP1A4
ABCA2	CDK5RAP2
ABCA2	ABCD4
ABCA6	APOA1
ABCA7	APOA1
ABCB1	CAV1
