gene	gene.y
ABHD16A	IFITM1
ABI1	SPTA1
ABI1	EPS8
ABI1	WASF2
ABI1	NCKAP1
ACAN	VCAN
ACAN	MMP3
ACAN	TNFAIP6
ACAN	MMP1
ACAN	FBLN1
ACKR2	CCL5
ACKR2	CCL13
ACKR2	CCL2
ACTG2	MYL5
ACTN2	RAVER1
ACTN2	MYL4
ACTN2	TNNT1
ACTN2	GRIN2A
ACTN2	TNNT3
ACTN2	ADAM12
ACTN2	TNNC2
ACTN2	TCAP
ACTN2	MYL1
ACTN2	CAMK2A
ADAM12	SH3D19
ADAM15	SH3D19
ADAM17	SH3D19
ADGRB2	SHANK2
ADGRB2	SHANK1
ADRB2	GNG7
ADRB2	GNG3
ADRB2	GNGT1
ADRB2	GNG13
AES	RUNX1
AES	SH3GL3
AES	CCL7
AES	STYXL1
AGTR1	GNG3
AGTR1	GNG13
AGTR1	GNG7
AGTR1	GNGT1
AHR	NKX2-1
AHR	HSP90AA2P
AKT2	SH3RF1
AKT2	TRIB3
ANAPC4	SLC25A23
ANXA5	IFNGR2
ANXA5	COL2A1
APAF1	HSP90AA2P
APAF1	CYCS
APAF1	CASP8
APBB1	LRP2
APBB1	LRP1
AQR	CWC27
AQR	PPWD1
AQR	FIP1L1
ARHGAP1	EPB41L1
ARHGAP1	ADGRB2
ARHGAP1	KIF1B
ARHGAP1	TAX1BP1
ARHGAP32	GRAP
ARHGAP32	MEGF10
ARL15	GRIPAP1
ARL15	UBR1
ARL15	B4GALT3
ARL15	CCDC90B
ARL6IP5	PRAF2
ASIC3	STOM
ATF6	CREBZF
ATF7IP	CSPG4
ATF7IP	FLNB
ATF7IP	MCAM
ATF7IP	LAMC1
ATF7IP	DPEP1
ATF7IP	GTF2E2
ATP2B4	RASSF1
ATP2B4	CD22
AURKA	PLK4
AURKA	ANAPC4
AURKA	RAB10
AURKA	MAPRE1
AURKA	HAUS6
AURKB	ANAPC4
AURKB	KIF2B
AURKB	CENPT
AURKB	CENPI
AURKB	TBL3
AURKB	CENPM
AURKB	RACGAP1
AURKB	ZWILCH
AURKB	KIF2C
AURKB	DSN1
AURKB	CENPH
AURKB	CDCA8
AURKB	SKA1
AURKB	CENPP
AURKB	KIF2A
AURKB	NUF2
AURKB	DES
AURKB	CENPN
AURKB	SPC25
AURKB	INCENP
AURKB	MAPRE1
AURKB	SPDL1
AURKB	CDCA5
AURKB	CENPK
BAAT	SLC7A11
BAG1	VDR
BAG1	HBEGF
BCL11B	RLF
BCL6	BCOR
BCL6	TNFRSF8
BCL6	EHMT1
BCL6	NCOR1
BCL6	CACNA1A
BCL6	EIF2AK3
BCL6	ZBTB7A
BCL6	MAPK8IP3
BCL6	ARNT2
BCL6	TRIB3
BEX3	VTA1
BID	CASP8
BID	FADD
BIN1	CUX1
BIN1	ASAP2
BIN1	SNX4
BIN1	CLTB
BLK	EPHA6
BLK	CD79B
BMP2	SMAD6
BMP2	CHRD
BMP2	COL2A1
BNIP3L	DOK5
BRCA1	RAD51
BRCA1	MED24
BRCA1	CCNA2
BRCA1	LMO4
BRCA1	PPP1CB
BRCA1	XRCC1
BRCA1	BRCA2
BRCA1	MED1
BRCA1	TOP2A
BRCA1	BRIP1
BRCA1	NELFB
BRCA1	AURKA
BRCA1	NUP153
BRCA1	NBN
BRCA1	MSH2
BRCA1	CLSPN
BRCA1	MSH3
BRCA1	CHEK1
BRCA1	GTF2H4
BRCA1	BAP1
BRCA1	FANCD2
BRCA1	CCNA1
BRCA1	DCLRE1C
BRCA1	KPNA6
BRCA1	E2F1
BRCA1	ORC3
BRCA1	KIF1B
BRCA1	CCNE1
BRCA2	PLK1
BRCA2	FANCD2
BRCA2	RAD51
BRCA2	FANCE
BRCA2	BRIP1
BRCA2	DMC1
BRIP1	TOP3A
BRIP1	RAD9B
BRIP1	RFC4
BRIP1	TIMELESS
BRIP1	TIPIN
BRIP1	CLSPN
BUB1	MAPRE1
BUB1	CENPN
BUB1	CENPI
BUB1	KIF2C
BUB1	CDCA8
BUB1	CENPP
BUB1	SPC25
BUB1	KIF2B
BUB1	CDCA5
BUB1	NUF2
BUB1	KIF2A
BUB1	ZWILCH
BUB1	CENPT
BUB1	INCENP
BUB1	PDS5A
BUB1	AURKB
BUB1	PLK1
BUB1	STAG1
BUB1	SKA1
BUB1	SPDL1
BVES	PYDC1
BYSL	RPS6
BYSL	TSR1
BYSL	RIOK1
C1D	EXOSC4
CACNA1A	SYT1
CAMK2A	GRIN2A
CAMK2A	ITPKA
CAMK2A	HSF1
CAPNS1	GNB2
CAPNS1	DRG1
CAPNS1	CD3EAP
CAPNS1	VTA1
CAPZA1	MCC
CASP8	PLEC
CASP8	PEA15
CASP8	CDH1
CASP8	SYF2
CASP8	CASP14
CASP8	PICALM
CASP8	FADD
CASP8	RIPK1
CASP8	TRADD
CASP8	PSEN2
CASP8	GRIA1
CCL7	MMP1
CCL7	MMP3
CCL7	ACKR2
CCNA1	CUX1
CCNA1	GANAB
CCNA1	MCC
CCNA1	ANAPC4
CCNA1	INCA1
CCNA1	ORC1
CCNA1	MYBL2
CCNA1	HIST1H2BA
CCNA1	CABLES1
CCNA1	PAK3
CCNA1	MTHFD1
CCNA1	ORC2
CCNA1	CAPZA1
CCNA1	CDC25A
CCNA2	ORC2
CCNA2	MYBL2
CCNA2	ORC1
CCNA2	E2F1
CCNA2	CDC25C
CCNA2	CDC6
CCNA2	PAK3
CCNA2	CCNE1
CCNA2	ANAPC4
CCNA2	UBTF
CCNE1	MYBL2
CCNE1	FBXW7
CCNE1	PAK3
CCNE1	CDC25A
CCNE1	CABLES1
CCNE1	NBN
CCNE1	SF3B1
CD14	EHHADH
CD14	ITGAM
CD1D	CD74
CD2	LGALS1
CD2	CD5
CD2	CD53
CD2	CD247
CD2	CD48
CD247	SEPSECS
CD247	TRAT1
CD247	CD5
CD247	SH2B3
CD247	PTPN22
CD247	SLA
CD247	CD8B
CD48	CD244
CD5	DYNLT3
CD5	PRKCG
CD5	CD79B
CD5	CD6
CD5	CD72
CD74	HLA-DRA
CD80	CD86
CD80	CTLA4
CD8A	HLA-G
CD8A	LGALS1
CD8A	CD3G
CD8A	CD8B
CD8A	SPNS1
CD8A	ORC3
CDC14A	MAPK6
CDC25A	CUX1
CDC25A	PIM1
CDC25A	CDKN3
CDC25A	FBXW11
CDC34	PPP1CB
CDC34	RNF111
CDC34	UBR1
CDC34	HERC4
CDC34	RNF217
CDC34	HERC6
CDC34	TRIM4
CDC34	FBXW11
CDC34	TRIM41
CDC34	UBR2
CDC34	RNF19A
CDC34	ASB7
CDC34	HERC2
CDC34	TRIM11
CDC34	MYBL2
CDC34	HECTD2
CDC34	RBBP6
CDC37	EIF2AK1
CDC37	POLR1E
CDC37	AKT2
CDC37	NUAK1
CDC37	HSP90AA2P
CDC42EP1	UNC13D
CDC6	ORC3
CDC6	ORC1
CDC6	CLSPN
CDC6	ORC5
CDC6	ORC6
CDC6	CDC7
CDC6	ORC2
CDC6	DBF4
CDC6	MCM8
CDC6	MCM10
CDC6	PPP2R3A
CDC7	CLSPN
CDC7	ORC3
CDC7	DBF4
CDC7	MCM8
CDC7	ORC6
CDC7	MCM10
CDCA5	CENPM
CDCA5	CENPN
CDCA5	KIF2C
CDCA5	CENPT
CDCA5	ZWILCH
CDCA5	INCENP
CDCA5	KIF2A
CDCA5	CENPP
CDCA5	CENPI
CDCA5	CENPK
CDCA5	SPDL1
CDCA5	CENPH
CDCA5	KIF2B
CDCA5	SPC25
CDCA5	SKA1
CDCA8	KIF2C
CDCA8	KIF2B
CDCA8	CENPN
CDCA8	KIF2A
CDCA8	DSN1
CDCA8	CENPK
CDCA8	CDCA5
CDCA8	NUF2
CDCA8	SKA1
CDCA8	CENPI
CDCA8	ZWILCH
CDCA8	INCENP
CDCA8	SPC25
CDCA8	CENPP
CDCA8	CENPH
CDCA8	SPDL1
CDCA8	CENPM
CDCA8	CENPT
CDH1	CBLL1
CDH1	SLC25A23
CDH1	GNA12
CDH1	CDC26
CDH1	ANAPC4
CDH1	FER
CDH1	SET
CDH1	ARHGAP32
CDH1	RNMT
CDH1	KRT1
CDH1	CSE1L
CDH1	PTPN14
CDK19	RB1CC1
CDK19	MED18
CELF3	RBFOX1
CENPH	CENPP
CENPH	ZWILCH
CENPH	SPC25
CENPH	CENPI
CENPH	CENPN
CENPH	CENPT
CENPH	KIF2C
CENPH	INCENP
CENPH	CENPM
CENPH	SKA1
CENPI	CENPP
CENPI	CENPN
CENPK	ZWILCH
CENPK	CENPH
CENPK	SPC25
CENPK	SKA2
CENPK	CENPI
CENPK	NUF2
CENPK	CENPN
CENPK	CENPP
CENPK	SKA1
CENPM	CENPN
CENPM	CENPP
CENPM	CENPI
CENPM	CENPW
CENPM	KIF2C
CENPP	CENPN
CENPT	KIF2C
CENPT	CENPN
CENPT	KIF2B
CENPT	KIF2A
CENPT	CENPM
CENPT	SPC25
CENPT	SKA1
CENPW	CENPI
CENPW	CENPP
CENPW	CENPN
CEP72	HAUS2
CEP72	LNX1
CEP72	CEP89
CEP76	CEP152
CEP89	CEP152
CHAF1B	HIST1H3J
CHAF1B	HIST1H3C
CHAF1B	HIST1H3B
CHAF1B	HIST1H3I
CHAF1B	HIST1H3H
CHEK1	TIPIN
CHEK1	NBN
CHEK1	BRIP1
CHEK1	MDM4
CHEK1	TOP3A
CHEK1	RFC4
CHEK1	CDC25A
CHEK1	PAK3
CHEK1	HUS1
CHEK1	CLSPN
CHEK1	CDC25C
CHEK1	CUL4A
CHEK1	TIMELESS
CHEK1	RAD9B
CHEK1	RAD1
CHIC2	CATSPER1
CHMP1A	VPS4B
CHN1	TGFBR1
CHRM4	EEF1A2
CLSPN	RMI1
CLSPN	TIPIN
CLSPN	MCM8
CLTB	EPN2
CLTB	DNAJC6
CLU	IGHG1
CLU	PON1
CLU	VLDLR
CLU	C8B
CLU	TGFBR1
CLU	LRP8
CLU	LRP2
CNKSR1	RHPN2
CNKSR1	RHOD
CNKSR1	STK4
CNKSR1	RASSF1
CNKSR1	RALGDS
CNR1	GNAT3
CNR1	GNGT1
CNR1	GNG3
CNR1	GNG13
CNR1	GNG7
CNTN2	NRCAM
COG4	RAB6B
COG4	COG8
COG5	VPS51
COG5	COG8
COG5	COG4
COL2A1	MMP1
COL2A1	SPARC
COL2A1	HLA-DRA
COL5A1	SPARC
COL5A1	SDC3
CRHR1	GNAO1
CRTC2	SIK2
CRTC2	SIK1
CRX	BANF1
CRX	IPO13
CRY1	NPAS2
CRY1	TIMELESS
CRY1	PER3
CSE1L	KPNA4
CSE1L	KPNA6
CSE1L	PPP5C
CSF1	GAB3
CSF3R	SOCS3
CSPG4	LNX1
CTGF	LRP1
CTLA4	CD86
CTLA4	TXK
CUL2	KCTD5
CUL2	CDC34
CUL2	UBE2E2
CUL2	TIMM13
CUL2	EPAS1
CUL2	MRM3
CUL2	GH1
CUL2	PFKFB3
CUL2	UBXN1
CUL2	STOM
CUL2	TFE3
CUL2	UBE2U
CUL2	HIF3A
CUL4A	DET1
CUL4A	HSP90AA2P
CUL4A	XAB2
CUL4A	USP7
CUL4A	DCAF4
CUL4A	COPS4
CUL4A	AQR
CUL4A	DTL
CUL4B	DCAF4
CUL4B	DTL
