GSPT1	RPS6	CRYZ	GCLM	DDX56	RTCA	EIF4G1	SKIV2L	UPF3A	PDCD5	EIF1AX
spl	-0.0738869211989254	-0.213262594365504	-0.190641411809676	-3.99951342946319	0.312132613382854	1.22877698393828	-0.238802639186606	0.383887977404044	-0.209978874317072	-0.179817297575968	-0.209370778011809
degree_centrality	-0.166189554497346	0.423885032218002	-0.461515816800523	-0.534913928958064	-0.0188153922912605	-0.534913928958064	0.202534819963371	-0.461515816800523	-0.0188153922912605	-0.387539766751978	0.275932932120911
average_neighbor_degree	0.908312722810514	0.656935089179804	2.10651364059312	-1.0361961592743	-0.656195301120392	-0.748627942292964	0.412848870934177	-0.276194442966489	0.334888018118843	1.00416882252507	0.463266686414081
betweenness	-0.241936400985407	-0.174767970291972	-0.218969815723477	-0.250839860020807	0.0976081361596219	-0.250839860020807	0.0510290429772494	-0.250839860020807	-0.101338337741374	-0.194873566443057	-0.2441566103188
eigenvector	0.754595369737031	1.75031524592155	-0.119520785936445	-0.142410898032641	-0.136420126507464	-0.142321483532265	0.909103626386352	-0.13883431801761	0.1049990245071	-0.090997560316576	1.10492138220928
cluster_coefficient	1.14505247182967	0.939026930201031	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	0.370334736723873	3.70162355424987	-0.25497272337348	-0.559328249783801	1.11922684294542
harmonic_centrality	0.332364208946537	0.510829616360458	0.472341639040021	-4.01682377427474	-0.0730991414404771	-0.815931099322202	0.541988772914467	-0.160484219999711	0.51197912433788	0.462435305782512	0.502824175691303
markovcent	0.745807962360655	1.24889843619594	-0.32662037469072	-2.06317627905331	0.59178799450985	-1.06026811166322	1.02657895600947	-0.31877098630456	0.932155960170676	0.0889588150318609	1.17913628431901
closeness_latora	0.332392959290379	0.510858517544897	0.472370509011284	-4.01679873303718	-0.0731492410388338	-0.815959403188335	0.542017701978247	-0.16053439389139	0.512008027063286	0.462464166820176	0.502853071581773
closeness_residual	0.311823619418415	0.592807440492482	0.53877250415963	-2.25497305552343	-0.303256227649537	-1.27911464158648	0.64502919614783	-0.43379985607172	0.600555156147098	0.523874292598775	0.580873806241136
communitycent	-0.463477648784388	0.126907633049567	0.126907633049567	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388
diffusion_degree	0.0674434670585601	0.650183292737632	-0.194695160026848	-0.487008017568129	-0.321049750060821	-0.473806791743684	0.282434859056664	-0.413458330831936	0.0429269048131622	-0.198466938833832	0.380501108038255
dmnc	-0.214905655225139	-0.13216721417235	-0.214905655225139	-0.214905655225139	3.28332753201443	-0.214905655225139	-0.0811367958737757	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.13216721417235
geokpath	0.0636142100397208	0.449307819632644	0.406244940891687	-1.03823379600608	-0.577648223385407	-0.964277982516177	0.519519034971162	-0.659093233178087	0.413734137194462	0.404372641815993	0.439946324254175
lincent	0.328198658842361	0.492495481948145	0.465012131386156	-4.13266281217124	-0.0713957948270392	-0.783861019309953	0.523922436275688	-0.13791754714184	0.488485606018376	0.451976639329276	0.487743798866931
semilocal	0.21807451921683	0.894877697740916	-0.187160775274389	-0.406965915339512	-0.352309138425005	-0.404543095355587	0.477811031107775	-0.376541265038944	0.0855301663199074	-0.18915165004238	0.525034423533513
coreness	0.24429079708331	1.15275951528674	-0.482484177479431	-0.664177921120116	-0.119096690198061	-0.664177921120116	0.60767828436468	-0.482484177479431	0.24429079708331	-0.300790433838746	1.15275951528674
hub_score	0.755148917754461	1.75095305007096	-0.119165371874211	-0.141895056461185	-0.136613665895009	-0.141793008741261	0.909487271972992	-0.138350374658331	0.105148166850758	-0.0905521055912656	1.10553193892827
eccentricity	-0.104393651028562	-0.104393651028562	-0.104393651028562	-4.78240978063309	0.415385918927497	0.935165488883556	-0.104393651028562	0.415385918927497	-0.104393651028562	-0.104393651028562	-0.104393651028562
subgraph_centrality	-0.0189305801457725	0.224114629138034	-0.0892821719211296	-0.0893274202022177	-0.0893226743318354	-0.0893274181446021	0.00737712791870627	-0.0893263200939903	-0.0839866694139063	-0.0890967977245864	0.0468032769915264
pc	0.619073503331543	0.337193228180925	0.82219311336655	-1.0058833769485	1.50772179723469	-1.0058833769485	-0.401560570232779	-1.0058833769485	1.50772179723469	-1.0058833769485	-0.447304449352231
gilschmidt	-0.118974244482531	-0.0467412975402371	-0.0623191059729365	5.30506371721646	-0.283115205493389	-0.5837635073592	-0.0341297900989436	-0.31848386245599	-0.0462760399248922	-0.0663286431457171	-0.0499814574857064
spl_n	-0.821124696833797	-0.008752682016688	1.42086542318089	-0.0234715233755755	-0.21562667249206	0.022575494086633	-0.683793855898123	-4.6041369965514	-0.412102949346929	-0.442620913999299	-0.618841904580467
degree_centrality_n	2.82447189816744	-0.286273631071896	-0.540244776893258	-0.477152997510267	0.665984496734096	-0.41352654203081	1.11030033289736	-0.540244776893258	0.729076276117087	-0.223181851688905	1.17392678837682
average_neighbor_degree_n	1.38128346659712	-0.0337543864240128	-1.06743164611206	1.24378335354255	0.131852357645727	0.436981254916585	0.387103779340574	-1.14022581932953	0.131939019108943	1.31657752676002	1.07479688520158
betweenness_n	0.367891941226163	-0.242108285105306	-0.259264592921767	-0.0966780936100719	0.297433990423288	-0.227961948374904	0.55413925265528	-0.259264592921767	0.0866255092259644	-0.158038756873395	-0.178103755362228
eigenvector_n	8.88466986851347	0.0806732573655886	-0.177516661673093	-0.15029952941342	1.30796086169134	0.0561591964604719	1.31392626054277	-0.1777030803872	0.983126252359276	-0.0828159549065584	3.89433410121673
