SH3GL2	LEPROT	SH3GL3	ATF7IP	ADAM12
spl	-3.99951342946319	1.11834669490228	-0.278328899028787	0.272241495757516	-0.609984623919939
degree_centrality	-0.534913928958064	-0.534913928958064	-0.0188153922912605	-0.314141654594437	-0.0188153922912605
average_neighbor_degree	-1.0361961592743	-0.912952637710868	-0.276194442966489	-0.830790290001916	1.66489102165751
betweenness	-0.250839860020807	-0.250839860020807	-0.0963883464945964	-0.0989493930971787	0.109581866614558
eigenvector	-0.142410898032641	-0.142410898032641	-0.124885655958991	-0.141874411030386	-0.0230425400309948
cluster_coefficient	-0.559328249783801	-0.559328249783801	-0.407152617054543	-0.559328249783801	0.049378542085037
harmonic_centrality	-4.01682377427474	-0.757619242900097	0.574368466980312	-0.0710982493474576	1.07030570095579
markovcent	-2.06317627905331	-1.17963718766756	0.867465570938625	-0.0846999504209285	0.891459814870699
closeness_latora	-4.01679873303718	-0.757591421910458	0.574397422534403	-0.0710698437393009	1.07033508031753
closeness_residual	-2.25497305552343	-1.22531644100974	0.69433479771651	-0.317094508665976	1.5224310922426
communitycent	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567
diffusion_degree	-0.487008017568129	-0.481350349357653	-0.181493934202403	-0.437974893077334	0.531372260317627
dmnc	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139
geokpath	-1.03823379600608	-1.00078781449221	0.611261689680158	-0.652540186413159	1.83855373379745
lincent	-4.13266281217124	-0.711549477239824	0.573409796942098	-0.0334476882281934	1.03411714393914
semilocal	-0.406965915339512	-0.404409585016116	-0.197068027818056	-0.376156441119293	0.661764718250313
coreness	-0.664177921120116	-0.664177921120116	0.0625970534426247	-0.300790433838746	0.0625970534426247
hub_score	-0.141895056461185	-0.141879002474325	-0.124421466564177	-0.141356522718319	-0.0225576458999271
eccentricity	-4.78240978063309	0.935165488883556	-0.104393651028562	0.415385918927497	-0.104393651028562
subgraph_centrality	-0.0893274202022177	-0.0893274201796645	-0.0893007088123679	-0.0893273948049206	-0.0880815216907712
pc	-1.0058833769485	-1.0058833769485	0.93644789401124	1.27921223594531	1.50772179723469
gilschmidt	5.30506371721646	-0.560139389988787	-0.0210242774173128	-0.282273580945335	0.179703744682331
spl_n	-0.28773549162642	-0.230210478609124	0.723543434398397	-0.704049142171825	-0.184568566872386
degree_centrality_n	0.475639806392191	-0.286273631071896	-0.477152997510267	1.36427147871873	-0.349900086551353
average_neighbor_degree_n	-0.600692550469447	-0.0919897249979872	-0.776254953242187	-0.419328670473794	0.315657645019834
betweenness_n	0.297979163794814	-0.250035915881951	-0.257779342426523	2.50573427116049	-0.191082836398095
eigenvector_n	-0.123268815867854	-0.165119817184954	-0.176025311960234	-0.0308983430276611	-0.168661772752994
cluster_coefficient_n	-0.373273801147414	0.677512507764958	-0.590894368992731	-0.545430438506812	-0.590894368992731
harmonic_centrality_n	0.516177218087043	0.419690579696212	-0.521170182515226	1.11461495338445	0.372427428439828
markovcent_n	1.18007055808287	0.289316224081167	-0.619757998625109	1.44985106297406	-0.0144933369558342
closeness_latora_n	0.516205379366315	0.419718258878923	-0.521147196724678	1.11464609988824	0.372454872126688
closeness_residual_n	0.599981384044	0.457449252436236	-0.863235761011735	1.51476594126719	0.387461113928015
communitycent_n	-0.51642647910199	0.0625142609698936	-0.51642647910199	0.0625142609698936	-0.51642647910199
diffusion_degree_n	-0.0914358994629048	-0.285815923965994	-0.477250796582673	0.482868718387132	-0.265199860761121
dmnc_n	-0.0858558417022882	-0.0756412724187647	-0.123265764231294	-0.0462680124500414	-0.123265764231294
geokpath_n	0.550518990911055	0.38174144025188	-0.967748326274073	1.87589767877141	0.213694528340148
lincent_n	0.509319587225691	0.440456510809374	-0.484565943750053	1.06823464454614	0.387094054573683
semilocal_n	-0.0690958142115844	-0.197213551929798	-0.410389219782867	0.391970531190703	-0.207563238618974
coreness_n	0.454533285426713	-0.0481408617765611	-0.550815008979835	0.789649383562229	-0.383256959912077
hub_score_n	-0.122719658618851	-0.16468053515393	-0.175474760524811	-0.0323105230261235	-0.168129916581847
eccentricity_n	0.186549824460118	-0.576962892462901	0.950062541383136	-0.576962892462901	-0.576962892462901
subgraph_centrality_n	-0.093958553677947	-0.0942135284765059	-0.0942275321383043	-0.0922493961444825	-0.0942204164393411
pc_n	0.957743539932737	0.859136999262311	0.649598100337655	1.33824918161102	1.08613747309735
gilschmidt_n	0.0066328027992785	-0.0346926427201606	-0.437665432562574	0.262945036676991	-0.0549355570534845
