HIST1H2AA	HIST1H3I	HIST1H3J	HERC2
spl	0.1693516009068	-0.539323833248223	0.758353682185808	-0.32527393379519
degree_centrality	-0.240165604545892	0.128558769914825	-0.534913928958064	0.128558769914825
average_neighbor_degree	-0.461059725311631	0.512564095039452	-0.666465594584011	0.545429034123033
betweenness	-0.246644647917189	0.052579507590502	-0.250839860020807	-0.208761195765058
eigenvector	-0.139728463021368	-0.0351134975817231	-0.142142654531513	-0.0766912402564536
cluster_coefficient	0.292862111022933	-0.180576504875052	-0.559328249783801	-0.275263375864288
harmonic_centrality	0.0608382276647564	0.954118424092984	-0.487980051923778	0.661541398972574
markovcent	0.53760929858951	1.02926070109493	-1.00506716393131	1.08091539924262
closeness_latora	0.0608667467163087	0.954147704824602	-0.487952002195579	0.661570430134398
closeness_residual	-0.104521940750548	1.32432630724055	-0.886220717257488	0.845103192212096
communitycent	0.126907633049567	0.126907633049567	-0.463477648784388	-0.463477648784388
diffusion_degree	-0.339908644095742	0.257918296811266	-0.4700350129367	0.273005412039203
dmnc	0.0643656176745642	-0.0421713591969668	-0.214905655225139	-0.0421713591969668
geokpath	-0.364206128756313	1.57643186320031	-0.935257346842923	0.89491499964777
lincent	0.067782834127118	0.928557875243121	-0.452513622242398	0.633568765299094
semilocal	-0.306605407804418	0.301412458469404	-0.39638325754911	0.184115771694978
coreness	0.0625970534426247	0.425984540723995	-0.664177921120116	0.60767828436468
hub_score	-0.139264306589373	-0.034679078278292	-0.1416213663583	-0.0761659523328712
eccentricity	0.415385918927497	-0.104393651028562	0.415385918927497	-0.104393651028562
subgraph_centrality	-0.089326813939515	-0.0883217663871145	-0.0893274136464382	-0.0889494576320263
pc	0.164085576853133	0.749070053753948	-1.0058833769485	0.237208636465735
gilschmidt	-0.228872976193728	0.132677547518971	-0.451004327244352	0.0142585149284734
spl_n	0.622942179239024	-0.260323337536014	-0.280038482842413	-0.635181168841254
degree_centrality_n	-0.477152997510267	-0.540244776893258	-0.477152997510267	1.23701856775981
average_neighbor_degree_n	-0.357688457241746	6.46676528189589	2.93624788084868	0.936918278843371
betweenness_n	-0.259250946492279	-0.259264592921767	-0.213181362901506	0.141161765556512
eigenvector_n	-0.175186427746751	-0.0952127993946973	-0.0948399619664826	0.736960340380519
cluster_coefficient_n	-0.590894368992731	-0.590894368992731	-0.590894368992731	0.0235219221086939
harmonic_centrality_n	-0.412920600135935	0.467822234776045	0.495228354655058	1.03130475706078
markovcent_n	-0.562448456290767	-1.0212493716232	-0.549689510607966	1.62639083124127
closeness_latora_n	-0.412897075283664	0.46785015378816	0.495256411186196	1.03133548886818
closeness_residual_n	-0.705483803566928	0.533682900284153	0.574807177167073	1.38974045276239
communitycent_n	-0.51642647910199	-0.51642647910199	-0.51642647910199	0.448474754351151
diffusion_degree_n	-0.443381549888953	-0.201879095203296	-0.176845304168808	2.00992997149095
dmnc_n	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.0124654687716023
geokpath_n	-0.774859696949302	0.41973465511888	0.470879367439842	1.65232222205406
lincent_n	-0.402920127706341	0.476277074760403	0.499999340146636	0.967683540932705
semilocal_n	-0.384908779018137	-0.121933810633269	-0.110534054722206	1.94728334698326
coreness_n	-0.550815008979835	-0.718373058047594	-0.550815008979835	1.79499767796878
hub_score_n	-0.174613828149534	-0.0946566263707197	-0.0942439203212684	0.73791802812943
eccentricity_n	0.186549824460118	0.186549824460118	0.186549824460118	-0.576962892462901
subgraph_centrality_n	-0.0942271981206833	-0.093609173848901	-0.0936029636093643	-0.0180648149241923
pc_n	-1.09655939070115	-1.09655939070115	0.649598100337655	0.331926166771738
gilschmidt_n	-0.391301892294355	-0.0140777462368719	-0.00233964283743557	0.227263091775816
