TFAP2A	SERPINB8	LDLRAP1	MAP3K2	SORL1	ACAN	FGF13	STYXL1	DPP4	GPC3	ZNF8	ECM1	SRPRB	SDC4	MATN2
spl	-3.99951342946319	-0.157804211325403	-3.99951342946319	0.116933699393016	0.592100152326548	0.36369918006927	0.0980827139298206	1.10533343396962	1.58305389138526	-3.99951342946319	0.613261903749744	0.225418080252165	-0.22080298855078	-0.233451391700279	0.53992548933487
degree_centrality	-0.534913928958064	-0.166189554497346	-0.534913928958064	-0.314141654594437	-0.534913928958064	0.423885032218002	-0.387539766751978	-0.534913928958064	-0.387539766751978	-0.534913928958064	-0.461515816800523	-0.461515816800523	-0.314141654594437	-0.166189554497346	-0.314141654594437
average_neighbor_degree	-1.0361961592743	-0.365203666678245	-1.0361961592743	-0.625384420729535	-0.707546768438488	-0.733956088619054	-0.365203666678245	-0.584303246875059	-0.99511498541982	-1.0361961592743	-0.645925007656773	0.0729955347965582	0.627591381831985	0.0524549478693201	-0.57403295341144
betweenness	-0.250839860020807	0.149712737514603	-0.250839860020807	-0.169074651619485	-0.250839860020807	0.394815525139543	-0.237580663949053	-0.250839860020807	-0.0131537339519899	-0.250839860020807	-0.103339015091468	-0.250839860020807	-0.184587694282131	0.0459087260446983	-0.248366689771746
eigenvector	-0.142410898032641	-0.131591743487173	-0.142410898032641	-0.14053319352475	-0.142232069031889	-0.142053240031138	-0.140890851526253	-0.142321483532265	-0.142410898032641	-0.142410898032641	-0.142321483532265	-0.141695582029635	-0.0838444002865148	-0.108343973389474	-0.141963825530762
cluster_coefficient	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.325210252911171	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	3.70162355424987	-0.559328249783801	-0.559328249783801	0.150831804539079
harmonic_centrality	-4.01682377427474	0.411284978616641	-4.01682377427474	0.0945383692536556	-0.372006876353198	-0.114590791972836	0.11453522976456	-0.74212237187456	-1.03114526608717	-4.01682377427474	-0.37991885760446	-0.0158218410205078	0.51410431340594	0.520117354439008	-0.302826088111583
markovcent	-2.06317627905331	0.465470649496091	-2.06317627905331	0.144916253235281	-1.01603820299579	1.01352494390989	0.0793384637467553	-1.01859599083724	-0.931327880230364	-2.06317627905331	-0.961139153082424	-0.294157515483001	0.378518489038032	0.645870504328935	0.274885790838549
closeness_latora	-4.01679873303718	0.411313796933039	-4.01679873303718	0.0945669164177014	-0.371978726036461	-0.11456242420059	0.114563794195029	-0.742094538305463	-1.03117375272952	-4.01679873303718	-0.379890715941161	-0.0157933888734956	0.514133217831451	0.520146265589411	-0.302797878800933
closeness_residual	-2.25497305552343	0.42819000426427	-2.25497305552343	-0.0654470900966263	-0.747189573942835	-0.364742959941863	-0.0341038140230399	-1.20169263371078	-1.51178150189155	-2.25497305552343	-0.751795160470857	-0.229249402073675	0.60675332867079	0.608633763824463	-0.637403367045311
