KCNB1	ARHGAP32	EIF2AK1	ATG16L1	MEGF10	CDK14	CDK17
spl	-0.267626404056131	-0.209614016533914	0.682220024766713	0.735489261107865	-3.99951342946319	-0.079359787946306	1.46131301107135
degree_centrality	-0.166189554497346	-0.166189554497346	-0.534913928958064	-0.534913928958064	-0.534913928958064	-0.387539766751978	-0.534913928958064
average_neighbor_degree	-0.00231993690959001	0.0250674849392781	-0.78970911614744	-0.584303246875059	-1.0361961592743	0.415338636556801	-0.99511498541982
betweenness	0.187024969307242	-0.205553178478855	-0.250839860020807	-0.250839860020807	-0.250839860020807	-0.219069245559659	-0.250839860020807
eigenvector	-0.131323499986046	-0.130876427484167	-0.141337924028132	-0.14178499653001	-0.142410898032641	-0.127210432968761	-0.142321483532265
cluster_coefficient	-0.275263375864288	-0.275263375864288	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801
harmonic_centrality	0.555494096846738	0.485868542668041	-0.441213747223911	-0.472695327465213	-4.01682377427474	0.326916660508145	-0.972771727485494
markovcent	0.516781544603308	0.630694559140706	-1.04576223984213	-1.00914726429058	-2.06317627905331	-0.0307866331674738	-1.46463587566502
closeness_latora	0.555523036978608	0.485897423865123	-0.441264159097356	-0.472745766932222	-4.01679873303718	0.326945405645844	-0.972744090453099
closeness_residual	0.662956549315316	0.551472839439297	-0.836086540542411	-0.868625601202274	-2.25497305552343	0.301385724717058	-1.46223647438771
communitycent	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388
diffusion_degree	-0.183379823605895	-0.175836265991926	-0.475692681147176	-0.466263234129716	-0.487008017568129	-0.279560183183994	-0.485122128164637
dmnc	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139
geokpath	0.548539670644416	0.363182062150729	-0.931512748691536	-0.890322169026272	-1.03823379600608	0.0514442660477111	-1.02793615108977
lincent	0.559906651579684	0.488040493162591	-0.39262790291091	-0.434731099707728	-4.13266281217124	0.334429746087116	-0.926566400191616
semilocal	-0.115838766574182	-0.138276357154647	-0.397286415727883	-0.39848800878312	-0.406965915339512	-0.257862353573527	-0.406164853302687
coreness	-0.119096690198061	-0.119096690198061	-0.664177921120116	-0.664177921120116	-0.664177921120116	-0.482484177479431	-0.664177921120116
hub_score	-0.13085326822942	-0.130402972978146	-0.140789956821149	-0.141319761982913	-0.141895056461185	-0.12672958745403	-0.141833625761836
eccentricity	-0.104393651028562	0.415385918927497	0.415385918927497	0.935165488883556	-4.78240978063309	-0.104393651028562	0.415385918927497
subgraph_centrality	-0.0893167537800503	-0.0893158656057417	-0.0893273133634234	-0.0893273907466947	-0.0893274202022177	-0.0893072957336653	-0.0893274198720781
