DYNC1I1	PTPRJ	VPREB1	DNAAF5	SCAF11	EFNA4	GOLM1	KLRC3
spl	-3.99866209463582	0.536641769286437	-0.249261895637147	0.679301162501448	-0.0695086278010192	-0.204141149786543	0.077285820289783	0.796055653112199
degree_centrality	-0.534913928958064	-0.534913928958064	-0.461515816800523	-0.534913928958064	-0.240165604545892	-0.314141654594437	-0.240165604545892	-0.461515816800523
average_neighbor_degree	-0.954033811565344	-0.625384420729535	1.94218894517522	-0.748627942292964	0.237320230214463	0.781645783786271	-0.658249359813116	-0.810249703074678
betweenness	-0.250839860020807	-0.250839860020807	-0.241818070433619	-0.250839860020807	-0.228692295461486	-0.250736095945587	-0.176344344719293	-0.208333965565997
eigenvector	-0.142410898032641	-0.142142654531513	-0.132754131992058	-0.141874411030386	-0.102800274366177	-0.135078909001828	-0.140890851526253	-0.142232069031889
cluster_coefficient	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.133233069380434	2.99146349992699	-0.559328249783801	-0.559328249783801
harmonic_centrality	-4.01368365417505	-0.316582806196734	0.535346856731695	-0.421505835141607	0.316293520080827	0.481020981837276	0.135077703549851	-0.517619616843314
markovcent	-2.06311781465451	-0.987077685601254	-0.271668215155373	-1.04297000646875	0.568601400319309	0.372394264481969	0.441867940831965	-0.709190517428969
closeness_latora	-4.01365860947472	-0.316554610598394	0.535375779907305	-0.421477727371554	0.316322255486769	0.481049858115554	0.135106285433337	-0.517591591119232
closeness_residual	-2.2515296263436	-0.664762487950673	0.636614316089622	-0.795397582460445	0.281263185447431	0.54628617423718	-0.00594032958270214	-0.926066304208301
communitycent	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388
diffusion_degree	-0.483236238761145	-0.468149123533208	-0.209782275254785	-0.473806791743684	-0.17960804479891	-0.141890256729068	-0.385169989779554	-0.462491455322731
dmnc	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	1.53421093839464	-0.214905655225139
geokpath	-1.03542534739254	-0.822919402301295	0.578496455855517	-0.841642393058233	-0.0318730428206632	0.372543557529198	-0.356716932453538	-0.913725907472445
lincent	-4.13012725547794	-0.272521282150396	0.536916060468783	-0.390293173986414	0.323226284001031	0.481374069527902	0.162695332506242	-0.481465546351076
semilocal	-0.406930574367299	-0.389464280544774	-0.158986166871373	-0.397533802533373	-0.146341952368556	-0.0765081912759779	-0.346434683488292	-0.398507642656571
coreness	-0.664177921120116	-0.664177921120116	-0.482484177479431	-0.664177921120116	0.0625970534426247	-0.119096690198061	-0.119096690198061	-0.482484177479431
hub_score	-0.141895056461185	-0.141611423965836	-0.132237779007892	-0.14136357288574	-0.102639416343321	-0.134589105485195	-0.140407886243573	-0.141728516429965
eccentricity	-3.74285064072097	0.415385918927497	-0.104393651028562	0.415385918927497	-0.104393651028562	0.415385918927497	-0.104393651028562	0.935165488883556
subgraph_centrality	-0.0893274202022177	-0.0893274131637361	-0.0893192604874974	-0.0893273954598842	-0.0891913616510291	-0.0893227502080432	-0.0893272266264832	-0.0893274177756698
pc	-1.0058833769485	-1.0058833769485	0.82219311336655	-1.0058833769485	0.164085576853133	-1.0058833769485	-1.0058833769485	0.82219311336655
gilschmidt	2.31118770128742	-0.381632181636138	-0.0368180712958372	-0.424099232427447	-0.125478772899809	-0.0588061874609477	-0.198824933794872	-0.463000786813654
spl_n	-0.0868030517913429	-0.454504015279868	0.876403328143896	-0.169984760755321	-0.317173174344194	0.361784021550155	-0.344855398918246	-4.6041369965514
degree_centrality_n	-0.0323024852505337	-0.159555396209448	-0.540244776893258	-0.0323024852505337	-0.0323024852505337	-0.477152997510267	0.348386895433277	-0.540244776893258
average_neighbor_degree_n	-0.303092827328645	0.362453888831896	-0.667063693415985	-0.388019350616662	0.481466611302772	-0.667063693415985	-0.419563504476594	-1.14022581932953
betweenness_n	-0.206769398997547	-0.182677401192457	-0.259264592921767	-0.168138144396144	-0.192579577047167	-0.259130695834364	0.341320434982492	-0.259264592921767
eigenvector_n	-0.162323536473344	-0.146384736417165	-0.177237033601932	-0.155146415980211	0.00461442200978928	-0.175093218389697	0.117211325330629	-0.1777030803872
cluster_coefficient_n	0.583557382380594	0.0131083016505133	-0.590894368992731	-0.473448348250814	0.113777527435848	-0.590894368992731	-0.590894368992731	-0.590894368992731
harmonic_centrality_n	0.273644079166099	0.719487070709809	-0.645180580206958	0.371385223851691	0.566572497528115	-0.204322525004624	0.605655169583262	-4.57653895858481
markovcent_n	0.797546910664802	0.598952847770584	-1.07284093604971	0.837254027233984	0.85879866852086	-0.591553010988117	1.09994387053743	-1.64405117796102
closeness_latora_n	0.27367103006863	0.719516245993506	-0.645158213810198	0.371412662338312	0.566600909821181	-0.204297958989511	0.605683776885293	-4.57653620852208
closeness_residual_n	0.241950354789011	0.913352217282212	-1.02177561348094	0.38865256494051	0.685765856943698	-0.437926183454362	0.740476518759433	-2.52256189933392
communitycent_n	-0.51642647910199	-0.51642647910199	-0.51642647910199	-0.51642647910199	1.09174224331991	-0.51642647910199	-0.51642647910199	-0.51642647910199
diffusion_degree_n	-0.181263031998423	-0.066402108428416	-0.49050398007152	-0.212187126805733	0.10441670098339	-0.468415340923442	-0.0310602857914907	-0.509647467333188
dmnc_n	-0.0858558417022882	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.0904569425773752	-0.123265764231294	6.14595974857279	-0.123265764231294
geokpath_n	0.020075260267935	1.02470353800112	-1.03058325855411	0.253879659449475	0.674727577976248	-0.641152806167359	0.715643347833017	-1.15625312311419
lincent_n	0.27641960041306	0.719748228162233	-0.602886528703021	0.37027490890056	0.545274207570623	-0.175529956787416	0.579538153330226	-4.72436708341654
semilocal_n	-0.259339550008795	-0.0378423158884696	-0.421558982656393	-0.262582684154269	0.1014800321332	-0.389652675812591	-0.00752272868747566	-0.43002923129135
coreness_n	0.286975236358955	0.119417187291197	-0.718373058047594	0.454533285426713	0.454533285426713	-0.550815008979835	0.454533285426713	-0.718373058047594
hub_score_n	-0.161796623109374	-0.145854746811316	-0.176639418309811	-0.154677911609231	0.00143480581369066	-0.174498075037659	0.117415068757968	-0.177124716349312
eccentricity_n	0.186549824460118	-0.576962892462901	0.186549824460118	0.186549824460118	0.186549824460118	0.186549824460118	-0.576962892462901	-5.15803919400101
subgraph_centrality_n	-0.0942064083247041	-0.0941388230758923	-0.0942277576695431	-0.0941818157499688	-0.0910667056167025	-0.0942271521223746	-0.0863345411498158	-0.0942277797594032
pc_n	0.628040600448286	0.899049170486053	-1.09655939070115	0.196890602660928	1.05919059823565	-1.09655939070115	2.00772059336783	-1.09655939070115
gilschmidt_n	-0.0972446887028798	0.0937108718708245	-0.490779366365237	-0.0553819356334717	0.0282172146639483	-0.30195886524297	0.0449564114131467	5.95148501751928
