EPAS1	HERC6	MRM3	UBOX5	SYVN1	FBXW11	BBS1	UBE2U	UBR1	CDC34
spl	0.293281627919669	-0.404083214957446	-3.99939181020214	0.643788338274016	1.29688377012788	-0.113048323257947	0.844095261228077	0.0602591237423785	-0.161939266201195	-0.0664681462747021
degree_centrality	-0.387539766751978	-0.0927914423398056	-0.461515816800523	-0.461515816800523	-0.534913928958064	-0.387539766751978	-0.387539766751978	-0.314141654594437	0.202534819963371	0.349908982169457
average_neighbor_degree	-0.803402827071874	1.68103004837445	-1.0361961592743	-0.769168529220202	-0.748627942292964	0.209932767284421	-0.912952637710868	-0.163221214866679	-0.259388504473187	-0.574822985465836
betweenness	-0.235471953531857	-0.247970766896112	-0.250820289787965	-0.249854841706838	-0.250839860020807	-0.248987911078067	-0.128318522935174	-0.248408057329927	-0.105720243564688	-0.188403976480282
eigenvector	-0.137582515012349	0.376997934650176	-0.142410898032641	-0.141516753028883	-0.142232069031889	-0.115675962420287	-0.138119002014604	-0.116838350925172	-0.0938588243286005	-0.103694419369935
cluster_coefficient	-0.559328249783801	1.06388986186643	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	0.860987597910154	-0.559328249783801	-0.404382998381921	-0.559328249783801
harmonic_centrality	-0.0879324750919233	0.769665292870628	-4.0144686836112	-0.390031729958071	-0.867585069691743	0.358941221032472	-0.554873039152287	0.17259755962068	0.442217973459139	0.308675922807417
markovcent	-0.086196528714926	0.861400567217542	-2.06315679563459	-0.431043987038486	-1.09258231074671	0.115880086871116	-0.491566241647663	0.299941535506116	1.06345115648559	1.15706194857069
closeness_latora	-0.0879825866291556	0.769694416907971	-4.01444364036533	-0.39000359602135	-0.86755734263518	0.358969993180063	-0.554845045121308	0.172626174161898	0.442246817705073	0.308704652166027
closeness_residual	-0.33797029806869	1.0239247738071	-2.25221831217956	-0.752887373163834	-1.34553650734005	0.349749763619379	-0.97460924001723	0.0630977352938275	0.484683764245844	0.261786289149022
communitycent	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	-0.463477648784388
diffusion_degree	-0.447404340094794	0.408789449090638	-0.483236238761145	-0.458719676515747	-0.473806791743684	-0.307848524236376	-0.462491455322731	-0.315392081850345	-0.0570252335719212	-0.166406818974465
dmnc	-0.214905655225139	-0.127143723936473	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	6.78156071925399
geokpath	-0.627264148891293	1.11865473919318	-1.03729764646824	-0.844450841671774	-1.02138310432484	0.138506173067473	-0.914662057010292	-0.203188408246646	0.312629987106997	-0.0580852298803764
lincent	-0.0535508914620974	0.738093224199711	-4.13012725547794	-0.361652201830722	-0.82695513907462	0.373172024393619	-0.517702884460706	0.180720169789557	0.430607134458282	0.319779759068408
semilocal	-0.379282153772785	0.48670124900665	-0.406954135015441	-0.390807237488862	-0.404625557624083	-0.229573868704491	-0.40147628432245	-0.245999567234083	-0.0954823665795843	-0.115987984012414
coreness	-0.482484177479431	0.425984540723995	-0.664177921120116	-0.482484177479431	-0.664177921120116	-0.300790433838746	-0.482484177479431	-0.119096690198061	0.425984540723995	0.60767828436468
hub_score	-0.13707409868352	0.377522533545882	-0.141895056461183	-0.141022151198569	-0.141676128779348	-0.115130074234294	-0.137607228604355	-0.11632234227	-0.0933480845949605	-0.103212510847064
eccentricity	0.415385918927497	-0.104393651028562	-4.78240978063309	0.415385918927497	0.935165488883556	-0.104393651028562	0.415385918927497	0.415385918927497	-0.104393651028562	-0.104393651028562
subgraph_centrality	-0.0893253869366116	-0.0657248851215309	-0.0893274202022177	-0.0893273535316404	-0.0893274160091994	-0.0892647495241306	-0.089325811777903	-0.089270209208864	-0.0891212381556784	-0.0891965151319222
pc	0.619073503331543	0.486423962084193	-1.0058833769485	-1.0058833769485	-1.0058833769485	0.619073503331543	-1.0058833769485	0.365173990787788	0.0818976751397965	-0.0107174768953352
gilschmidt	-0.289118920022293	0.0580211001364768	5.30506371721646	-0.411360251964724	-0.604647487768934	-0.108217337112777	-0.478078916132643	-0.183638966494979	-0.0745115033022018	-0.128561955682392
spl_n	-0.70796516418474	0.225128356823609	-0.144868205775942	-0.193075787107342	0.0995455819266809	-0.695947027662337	-0.119481580312906	-0.589944362829996	-0.426011579254866	-0.750231194875856
degree_centrality_n	0.348386895433277	-0.349900086551353	-0.286273631071896	-0.349900086551353	-0.223181851688905	0.98304742193845	-0.223181851688905	1.55461616906063	0.538731585775182	2.31652960652472
average_neighbor_degree_n	1.1964671409512	0.188267841889265	0.170069298584898	1.02540083389015	-0.466879717067948	1.16734947166421	-0.309159020562463	0.197902369097116	0.273194365177282	0.0672079652820805
betweenness_n	0.27989036790498	-0.259130844547821	0.237717607713778	-0.251365909349516	-0.223654934857146	-0.129055933156092	-0.107642298013929	-0.131073443959309	-0.0136573286393163	0.390012706256173
eigenvector_n	0.553710744412992	-0.12140462872678	-0.132962589001436	-0.11581206730356	-0.155426044051372	0.730994941529083	0.0229766653493634	0.736867131023465	0.243230376067199	0.795775444681388
cluster_coefficient_n	-0.228493612211369	-0.590894368992731	-0.590894368992731	0.113777527435848	1.94591938452265	0.32517867356213	0.818445195841505	-0.206529033128848	-0.369819506419711	-0.374385771176038
harmonic_centrality_n	1.13826031506333	-0.0662524747575439	0.347610276770329	0.394231010802575	0.0567690236367192	1.11415726576555	0.304480101292702	0.965651382428405	0.72123786324939	1.21908907089887
markovcent_n	1.21895541660878	0.090268572505159	-0.18108245270701	0.0921409513602489	0.344903568900361	1.57331268554657	0.209361909494904	1.69064770812791	1.33455969370479	1.80522637562618
closeness_latora_n	1.13829157910813	-0.0662272193796578	0.347637596187063	0.394258562620032	0.0567948931800164	1.11418840987535	0.304507205394545	0.965681786538001	0.721267048151223	1.2191207382511
closeness_residual_n	1.56430724304484	-0.246506126430641	0.35819369631461	0.424703566544416	-0.075686641752008	1.51968548093169	0.289569961385214	1.28366287874663	0.915600600644502	1.67138409855495
communitycent_n	0.930925371077719	0.0625142609698936	-0.51642647910199	-0.51642647910199	-0.51642647910199	0.0625142609698936	-0.51642647910199	-0.51642647910199	0.908658419536492	0.0625142609698936
diffusion_degree_n	0.949675292383187	-0.285815923965994	-0.232803190010606	-0.150338937191114	-0.331465778205356	1.89506904792094	-0.29317880368202	1.42826247392488	0.56975069903624	1.87003525688645
dmnc_n	-0.0506753613834342	-0.123265764231294	0.35898235213825	-0.123265764231294	-0.123265764231294	0.00244750885210025	-0.123265764231294	-0.0388620595198918	-0.0740906315299005	-0.0359918331592645
geokpath_n	1.85105596135837	-0.535940826535666	0.22392347080434	0.307216288012764	-0.375200302098357	1.83571254766208	0.12894043363684	1.47550764517302	0.944333275782462	2.00741265331103
lincent_n	1.07405906275077	-0.0467427227448693	0.341566478374726	0.396956580821644	0.0782073160389775	1.0562211795876	0.312876116583261	0.903512648297086	0.682606657854951	1.13767588987332
semilocal_n	1.0329936510749	-0.236802555492141	-0.228778353960287	-0.108394422524512	-0.331227474792149	1.89062839540325	-0.237950197517832	1.72133725764188	0.556429492001795	2.07993357375435
coreness_n	0.454533285426713	-0.215698910844319	-0.383256959912077	-0.215698910844319	-0.0481408617765611	1.79499767796878	-0.215698910844319	1.79499767796878	0.957207432629988	1.79499767796878
hub_score_n	0.554599917071335	-0.120760416108159	-0.132513959089044	-0.115303314805796	-0.154843390948622	0.732181384791617	0.0238065873571668	0.737911471629351	0.244100793577807	0.796681383279234
