GRIA2	GYS1	WT1	RASGRF1	HNRNPUL1	LIPE	KHDRBS3	PPP1CB	GRIK2	GRIA1	HAUS2	TAF15	TK1	SF1	USP8	DDX17	LASP1	CEP72	STOM
spl	0.776961429126898	2.60368273014088	-3.99951342946319	0.357861455538731	-0.158898784674877	-0.103562020895819	0.725638100962589	-0.347408639306808	0.123136281706712	0.66300418152036	0.196837553904745	-0.19173598515915	-0.338287194727847	-0.285382816169852	-0.400313017864803	-0.300463604540404	0.299119352450198	0.323929681704984	0.333902461111323
degree_centrality	-0.534913928958064	-0.534913928958064	-0.534913928958064	-0.534913928958064	-0.0188153922912605	-0.461515816800523	-0.461515816800523	-0.0927914423398056	-0.387539766751978	-0.461515816800523	-0.166189554497346	-0.240165604545892	0.0551606577572846	0.423885032218002	-0.461515816800523	-0.240165604545892	-0.240165604545892	-0.387539766751978	-0.314141654594437
average_neighbor_degree	-0.419978551457155	-0.912952637710868	-1.0361961592743	-0.419978551457155	-0.199167241989346	0.586510207977509	-0.912952637710868	0.114076708651034	-0.324122492823769	-0.625384420729535	-0.714393644441291	0.237320230214463	0.0866892457209923	-0.0443792535135412	3.91408529019007	0.574185855821167	-0.477492194853421	-0.502140899166107	-0.861601170392773
betweenness	-0.250839860020807	-0.250839860020807	-0.250839860020807	-0.250839860020807	-0.186374496757424	0.0441226893721864	-0.248843949920722	-0.189447250484864	-0.220871078913146	-0.237883250689326	-0.205103552731577	-0.218370588168922	-0.0513837548878324	0.0169494673939608	-0.248262021414777	-0.22501788412411	-0.166518269268777	-0.247465518985314	-0.0919708769396332
eigenvector	-0.142321483532265	-0.142410898032641	-0.142410898032641	-0.141427338528507	-0.104230906372189	-0.137046028010095	-0.140712022525501	-0.130339940481912	-0.141248509527756	-0.142142654531513	-0.139102561518737	-0.105750952878577	-0.115944205921414	-0.0466479681301967	-0.043876118618548	-0.106734512382711	-0.141606167529259	-0.139549634020616	-0.136777784508967
cluster_coefficient	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.407152617054543	-0.559328249783801	-0.559328249783801	-0.356425985827522	-0.559328249783801	-0.559328249783801	0.00879723710342026	-0.133233069380434	-0.559328249783801	-0.278386653536645	-0.559328249783801	-0.559328249783801	-0.133233069380434	0.860987597910154	-0.559328249783801
harmonic_centrality	-0.510694529269338	-1.5129214293962	-4.01682377427474	-0.154025478058568	0.438023670031719	0.340046290957405	-0.468076733258939	0.676318657915322	0.0914618837036889	-0.419194669274029	0.0196213384948407	0.46999309081834	0.681499857375119	0.600679127732563	0.737494942813866	0.603781865478156	-0.0808886980137766	-0.103621780575579	-0.123552286407038
markovcent	-0.974730195489189	-1.59948982037117	-2.06317627905331	-0.964445856480311	0.900471141548041	-0.91091584661987	-0.654394713583702	0.781699636108702	0.0897984797144597	-0.415805754812619	0.575450608029668	0.557633807851083	0.977818490577047	1.23700987528989	-0.324113759901448	0.592309676144392	0.496873855928842	0.0125072721868264	-0.187291290549835
closeness_latora	-0.510666497191313	-1.51289425404588	-4.01679873303718	-0.153997142605853	0.437934755170171	0.340075047291395	-0.46804866543669	0.676347702089652	0.0914904279349913	-0.419166559047156	0.0196498212772216	0.470021958263529	0.681528905967717	0.60070810665764	0.737524037922648	0.60381084779674	-0.0808603004179754	-0.103593401665338	-0.123523925641207
closeness_residual	-0.922355202213321	-1.9132806364463	-2.25497305552343	-0.434483161549592	0.479949049123578	0.316644420270176	-0.865866822589841	0.867469340806706	-0.0674781752769162	-0.803123776682687	-0.175257508605572	0.530250016939553	0.879349171477117	0.7361186586705	0.965133600919613	0.744070827932669	-0.324761518949189	-0.352505335458235	-0.388561805221713
