ABHD16A	BYSL	C1D	CAPZA1	CRX	DDX56	DGKD	DHX37	EIF1AX	EIF4G1	EIF5B	ETHE1	EXOSC4	EXOSC7	GART	GSPT1	GTF2IRD1	HEATR1	IPO13	MAD2L1BP	MCC	MPP6	MPZL1	NUP153	PAFAH1B2	PAFAH1B3	PINX1	RPL10L	RPS6	SKIV2L	SRP19	SRP54	TBL3	TSR1	UBE2V2	UPF1	UPF3A	UTP3	IFITM1	RIOK1	MTHFD1	BANF1	RTCA	HIST1H2BC	IGSF21	BMS1	EIF4E2	RPL27A	MTHFD1L	DUSP3	TKT	UCHL1	TRMT112	UBA2	CRYZ	RAB7A	APRT	PFKM	CLIC4	ECH1	GCLM	CUTA	SAR1A	NUP155	RAB2A	PDCD5	KCTD12	LIN7A	SNUPN	CHMP7	COTL1	SRP72	if_health
spl	0.393982376071436	-0.38340794057846	0.0885964115677021	-0.434123172437497	-0.342179011081533	0.312132613382854	0.816487688969079	0.214837204540571	-0.209370778011809	-0.238802639186606	-0.0333877072683235	-0.101251254935818	0.219215497938468	0.182608100361562	-0.168263467775944	-0.0738869211989254	-0.209127539489703	0.302281453237577	-0.296815026708824	-0.221897561900255	-0.698158588183261	-0.268599358144553	-0.236005396182385	-0.180303774620179	-0.0686572929736506	-0.232356818350804	-0.248410560809778	-0.327706319016244	-0.213262594365504	0.383887977404044	-0.112440226952685	-0.383651179100566	0.1866215359763	0.0141654238033437	-0.159385261719088	-0.26166706026454	-0.209978874317072	0.428643865471499	0.591127198238127	-0.362367808416307	-0.0502927845546662	-0.129223684977974	1.22877698393828	-0.233694630222384	0.0547862569950073	0.339375327858704	0.00358454809175002	-0.500527288972359	0.36236136819769	-0.0923730488789622	-0.319314590003599	-0.395448247422686	-0.154277252754866	-0.197938567472847	-0.190641411809676	-0.142115326649578	-0.0944405763168583	-0.123872437491646	-0.147709812658011	0.00273321326438145	-3.99951342946319	-0.0944405763168583	-0.273099270803511	-0.423177438942746	-0.226154236037108	-0.179817297575968	-0.348989689700493	0.148676326527815	0.56449258006755	0.663855516347738	-0.19173598515915	0.29972744875547	1
degree_centrality	-0.387539766751978	0.939983568884805	0.0551606577572846	-0.166189554497346	-0.166189554497346	-0.0188153922912605	-0.534913928958064	0.939983568884805	0.275932932120911	0.202534819963371	0.128558769914825	-0.461515816800523	-0.0188153922912605	0.275932932120911	-0.314141654594437	-0.166189554497346	-0.534913928958064	-0.0188153922912605	-0.387539766751978	-0.314141654594437	3.52163212800083	-0.0188153922912605	-0.534913928958064	-0.166189554497346	-0.0927914423398056	-0.0188153922912605	0.128558769914825	1.23473189329698	0.423885032218002	-0.461515816800523	0.0551606577572846	0.423885032218002	0.202534819963371	-0.240165604545892	-0.0927914423398056	0.275932932120911	-0.0188153922912605	0.349908982169457	-0.387539766751978	0.202534819963371	-0.387539766751978	-0.240165604545892	-0.534913928958064	-0.314141654594437	-0.314141654594437	0.939983568884805	-0.314141654594437	1.75140836785478	-0.461515816800523	-0.387539766751978	-0.461515816800523	-0.314141654594437	-0.387539766751978	-0.387539766751978	-0.461515816800523	-0.387539766751978	-0.534913928958064	-0.387539766751978	-0.461515816800523	-0.461515816800523	-0.534913928958064	-0.534913928958064	-0.461515816800523	0.644657306581628	-0.314141654594437	-0.387539766751978	-0.240165604545892	-0.314141654594437	-0.461515816800523	-0.534913928958064	-0.314141654594437	-0.461515816800523	1
average_neighbor_degree	-0.84448400092635	0.751813046144889	-0.547786643328728	0.8466909620288	0.408491801635171	-0.656195301120392	-0.707546768438488	-0.376941133184902	0.463266686414081	0.412848870934177	1.16575475932562	0.935700185740556	-0.615114127265916	-0.683582764050434	-0.0605182802304891	0.908312722810514	4.26327526795312	-0.307005323357346	1.41498056106983	1.02813282691313	-0.455924578579821	-0.399437964529917	4.01678822482626	-0.15295092140306	-0.437584751217142	-0.15808606813487	-0.563762659947821	1.30378750347666	0.656935089179804	-0.276194442966489	0.182545345435552	1.89817338415349	-0.3042043267616	0.0729955347965582	-0.419978551457155	-0.0947525780821612	0.334888018118843	-0.233533205003222	-0.803402827071874	0.483807273341319	0.524888447195795	-0.280302560351936	-0.748627942292964	0.853537838031604	-0.584303246875059	-0.193053952508061	-0.0810588671577271	1.41840397853065	-0.440519138384393	0.1003829977266	4.22219409409864	1.94218894517522	0.648131968759223	1.05894370730398	2.10651364059312	0.634438257834789	3.4416517908636	0.0866892457209923	1.61353955433941	-0.132410334475822	-1.0361961592743	3.4416517908636	2.47624420528341	0.174490189947341	0.391374632168748	1.00416882252507	0.927483950969661	-0.142680627939441	-0.707546768438488	-0.378897377602679	0.678942849150081	-0.522681486093345	1
betweenness	-0.24569646005733	0.220477751664937	-0.0411729508522883	-0.210660509720396	0.109385625419777	0.0976081361596219	-0.250839860020807	-0.16086941191473	-0.2441566103188	0.0510290429772494	-0.250804807346219	0.11837111359496	0.126010946101757	0.108375499886558	-0.245088342822358	-0.241936400985407	-0.250839860020807	-0.239144225314387	-0.174005569913037	-0.216877917917183	2.70984103680461	0.10724974003167	-0.250839860020807	-0.219291175405306	-0.129392678414916	-0.178234618557834	-0.05031328325001	-0.237521295788555	-0.174767970291972	-0.250839860020807	-0.189910667903622	-0.24216790286678	-0.166513068714242	-0.210424691859012	-0.202667938033323	-0.0136676296746968	-0.101338337741374	-0.249511733488259	-0.222656377690028	-0.18432571800601	-0.199684637237363	-0.0862378904032575	-0.250839860020807	-0.219981760622962	-0.230734079400707	-0.242570340731639	-0.244611158605886	-0.181439559246872	-0.244462869569829	-0.240172334913076	-0.242239524615449	-0.217943368479076	-0.0991672115891704	-0.226619289016228	-0.218969815723477	-0.175119426682625	-0.250839860020807	-0.0994507861417918	-0.226894838716591	-0.246580988728728	-0.250839860020807	-0.250839860020807	-0.214282165659381	0.0445578951652296	-0.207015646185952	-0.194873566443057	-0.217053959793987	-0.0602408432741654	-0.247778225747404	-0.250839860020807	-0.206036266271337	-0.248523767173125	1
eigenvector	-0.14053319352475	2.58964916094885	-0.137671929512725	0.0153162806302082	-0.123723267454106	-0.136420126507464	-0.142321483532265	-0.0542482006621367	1.10492138220928	0.909103626386352	1.88801357650022	-0.112904112908638	-0.134989494501452	-0.135347152502955	-0.0856326902940301	0.754595369737031	-0.134005934997319	-0.112635869407511	-0.130697598483416	0.0879208549353292	0.0768334568887343	-0.128104577972518	-0.132307059490179	-0.128462235974021	-0.130161111481161	-0.124617412457864	0.0745980943793402	4.89699034314546	1.75031524592155	-0.13883431801761	0.831491840060188	2.89526792323321	-0.100743740857534	0.187707437354683	-0.129892867980034	0.473565595056002	0.1049990245071	-0.0707004687312774	-0.142142654531513	0.690753416468735	-0.126495116965755	-0.107449828385717	-0.142321483532265	-0.0531752266576275	-0.139191976019113	-0.0231319545313706	-0.0222378095276129	6.0600941640334	-0.14115909502738	-0.135704810504458	-0.0740088052451807	-0.0719522717365381	-0.0909081458162002	-0.118894884433815	-0.119520785936445	-0.0962730158387461	-0.0965412593398734	-0.130429354982288	-0.130787012983791	-0.139013147018362	-0.142410898032641	-0.0965412593398734	-0.0949317983331096	-0.039315979099384	-0.0942164823301035	-0.090997560316576	-0.0512081076493607	-0.140980266026628	-0.14178499653001	-0.14178499653001	-0.111831138904129	-0.123097365951475	1
cluster_coefficient	-0.559328249783801	1.04359920937563	0.150831804539079	-0.275263375864288	-0.559328249783801	-0.559328249783801	-0.559328249783801	1.04359920937563	1.11922684294542	0.370334736723873	2.7547463224539	-0.559328249783801	-0.25497272337348	0.538190672091976	-0.559328249783801	1.14505247182967	-0.559328249783801	1.26679212582271	-0.559328249783801	-0.559328249783801	-0.512291602819073	-0.102797090644222	-0.559328249783801	-0.275263375864288	-0.356425985827522	-0.559328249783801	-0.559328249783801	2.66479336891894	0.939026930201031	3.70162355424987	0.150831804539079	2.90562236488293	0.912638855678651	-0.133233069380434	-0.153523721871242	-0.301089004748537	-0.25497272337348	2.2266780434764	0.860987597910154	1.6098839650835	-0.559328249783801	-0.133233069380434	-0.559328249783801	-0.559328249783801	-0.559328249783801	2.15956379161106	0.860987597910154	2.27558098733129	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	0.537240479839676	0.150831804539079	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	1
harmonic_centrality	-0.186545354185978	0.744596662187608	0.157319292820715	0.796033898273565	0.671323437610134	-0.0730991414404771	-0.547388148882677	0.0280314426172589	0.502824175691303	0.541988772914467	0.280164458091171	0.358718794494754	0.0198914250023176	0.0510216115860747	0.431763054802827	0.332364208946537	0.483516172134213	-0.0784691226127735	0.612922796625104	0.520115402068848	1.27388366384869	0.558454782588778	0.50594747573348	0.456312070057296	0.317225276375498	0.521022858538053	0.534859016186376	0.676540149482046	0.510829616360458	-0.160484219999711	0.370848531166264	0.749177874039779	0.0501009854498794	0.229710293370354	0.43247238455978	0.575513302457858	0.51197912433788	-0.18519117705444	-0.350115745768885	0.70555542696849	0.298111659646687	0.378770794743364	-0.815931099322202	0.531405817399141	0.159541674125369	-0.0966042556930583	0.23425599281041	0.944434515018103	-0.148817176215414	0.333353907536803	0.65159674838997	0.757249667033288	0.424894039582459	0.481747984194569	0.472341639040021	0.411352268267079	0.35211613060807	0.363501872943151	0.403039358736346	0.215149851139364	-4.01682377427474	0.35211613060807	0.570500322413977	0.815488628689175	0.510538032585404	0.462435305782512	0.678789635525147	0.0638707907738475	-0.329244138643001	-0.413113573186056	0.479227476672998	-0.0922006106116461	1
markovcent	-0.106738265455317	1.37486010460565	0.887777440711059	0.713040561471378	0.277404469690044	0.59178799450985	-1.03161029946877	1.29247305191792	1.17913628431901	1.02657895600947	1.09030243713859	-0.394196977116389	0.642636660555297	0.960729332399617	0.355150221400603	0.745807962360655	-0.906602175788324	0.852790557928001	0.113095380983038	0.413725050989433	1.6095163546917	0.755914906104384	-0.90564911808155	0.700550901730408	0.713115783611043	0.92407252648479	0.946327793019602	1.47124071188372	1.24889843619594	-0.31877098630456	0.943200639082145	1.26280917254355	1.03157575456294	0.566630714218861	0.770325326666688	1.134116652214	0.932155960170676	1.10222567226974	-0.110547761718179	1.12179722567223	0.101437459250656	0.273530934855486	-1.06026811166322	0.404338825470059	0.302021262083991	1.28851814367864	0.321304509408682	1.53542074977876	-0.316953053008457	0.0254106057055026	-0.242129992979074	0.40649494528758	-0.276549761953896	-0.0229455990640244	-0.32662037469072	-0.035233107584388	-0.90753124978435	-0.0769417045995531	-0.251425390202841	-0.291972267261857	-2.06317627905331	-0.907531249784363	-0.250465275776034	1.32224737435242	0.350790541418185	0.0889588150318609	0.60702578240155	0.0057758359127072	-0.394514674702243	-0.965829454967663	0.283613426361404	-0.331593443621658	1
closeness_latora	-0.186517047249609	0.744508009167387	0.157347892773543	0.79594528915382	0.67135247576782	-0.0731492410388338	-0.547438652492583	0.0280599319732327	0.502853071581773	0.542017701978247	0.280193162827385	0.358747567761041	0.0198414061969573	0.0509716192522053	0.43179188845111	0.332392959290379	0.483545049914965	-0.0784407230658296	0.612834030235905	0.520144311508189	1.27391321602648	0.558483724908924	0.505976373053723	0.456340925873372	0.317254012389071	0.5210517698353	0.534887939282406	0.676451438314488	0.510858517544897	-0.16053439389139	0.370877314541712	0.749206979784054	0.0501294952059218	0.229738955615327	0.432501219934415	0.575542259249882	0.512008027063286	-0.185241372052374	-0.350205333548874	0.705466740768008	0.298140379323749	0.378799584612823	-0.815959403188335	0.531434737924279	0.159570277842451	-0.0965758711996249	0.23428465829623	0.944346033418923	-0.148788836470845	0.33338265894891	0.651625770959344	0.757278779548659	0.424922868158213	0.481776861289919	0.472370509011284	0.411381085295088	0.352144897234615	0.363530648830312	0.40306816889982	0.215178501715569	-4.01679873303718	0.352144897234615	0.570529276276952	0.815517791465916	0.510566934642667	0.462464166820176	0.67870092564034	0.0638993108515463	-0.329215952431264	-0.41308545828668	0.479256351394687	-0.0921722217275063	1
closeness_residual	-0.482927905823315	0.971703018151756	0.0432307630336408	1.06375556477316	0.859802330523492	-0.303256227649537	-0.974663043598165	-0.162823501051532	0.580873806241136	0.64502919614783	0.223857454769012	0.357788018611042	-0.164545215641447	-0.125370828362795	0.468908554315751	0.311823619418415	0.553767562166168	-0.319192848322434	0.768804334088411	0.616007544591581	1.84135181823382	0.669321512939906	0.584489406879957	0.509627104367232	0.283490653698133	0.610282843580115	0.629167900488241	0.858801583918104	0.592807440492482	-0.43379985607172	0.367566819445948	0.986897149407752	-0.124421195159296	0.15140286250312	0.472201333468963	0.700909595306746	0.600555156147098	-0.470041948189422	-0.703285851900013	0.911550614666613	0.258558074292932	0.378887092874637	-1.27911464158648	0.633714303077235	0.033879700667167	-0.347816353379765	0.156880067042286	1.30354198392543	-0.422592570162994	0.308482417042362	0.833971231316679	1.00679909399555	0.461806481632353	0.553084256688296	0.53877250415963	0.440715477905899	0.347958104374249	0.352326955146157	0.419387738423332	0.120960796410193	-2.25497305552343	0.347958104374249	0.694490828101221	1.0957579347132	0.596762003691192	0.523874292598775	0.870450059190495	-0.112697394873596	-0.67517617104061	-0.78840042675987	0.54966234894084	-0.342435995286281	1
