ANXA5	BMP2	CD1D	CD74	COL2A1	COL5A1	HLA-DMB	IFNGR2	CHRD	HLA-DRA	SPARC	if_health
spl	1.29931615534894	1.04719942718635	0.0947989938813987	0.00784122222859457	0.210945388186876	-0.253518569774001	0.684530790726723	0.382915023315622	1.46471835038083	0.21203996153635	0.00650341035701466	1
degree_centrality	-0.461515816800523	-0.461515816800523	-0.387539766751978	0.128558769914825	-0.166189554497346	-0.0188153922912605	-0.240165604545892	-0.461515816800523	-0.387539766751978	-0.0188153922912605	0.275932932120911	1
average_neighbor_degree	-1.01565557234706	-0.974574398492582	-0.337816203748203	-0.715763003209383	-0.858177752931958	-0.00403166618058448	-0.822574055231021	-0.78970911614744	-0.981421274495386	-0.748627942292964	-0.498717481705292	1
betweenness	-0.103339015091468	-0.146269936704659	-0.219658505153107	0.490676776683763	0.0898019841698456	-0.166692477590895	0.63615101020142	0.0441226893721864	-0.0929577060285368	0.217077860457544	0.0828864757272806	1
eigenvector	-0.142410898032641	-0.142142654531513	-0.139728463021368	-0.138566074516483	-0.139191976019113	-0.100654326357159	-0.142232069031889	-0.140354364523998	-0.142410898032641	-0.141695582029635	-0.138655489016859	1
cluster_coefficient	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.180576504875052	-0.559328249783801	0.201554174814295	0.292862111022933	-0.559328249783801	-0.559328249783801	0.201554174814295	0.0217121820214463	1
harmonic_centrality	-0.877530740028606	-0.699218686698332	0.11861925607166	0.22495814197255	-0.00202213311038435	0.541133651269988	-0.426280501206154	-0.181694140609594	-0.96394200743919	0.00129181623118718	0.243815689693514	1
markovcent	-1.45697569454734	-0.989504546954843	0.0675788433413654	0.855092132169198	0.228415138655396	0.922219073429707	-0.0591920919197778	-0.979220539003111	-0.890369496907949	0.569859917299979	1.08438058387166	1
closeness_latora	-0.87755909496591	-0.699190815972198	0.118647823947383	0.224986800005404	-0.00199366728917765	0.540966321321193	-0.426252397395549	-0.181744331306838	-0.963914362054829	0.00132028454191596	0.243844363470693	1
closeness_residual	-1.36480356967282	-1.1490202730651	-0.0275397771489904	0.134430522897228	-0.211730956121294	0.637555878755982	-0.807620410959315	-0.478766198838005	-1.44317386566249	-0.207501994659816	0.168897096844081	1
communitycent	-0.463477648784388	-0.463477648784388	-0.463477648784388	4.58916890057424	-0.463477648784388	1.15231364886644	-0.463477648784388	0.126907633049567	-0.463477648784388	11.185677225152	4.33764608979086	1
diffusion_degree	-0.481350349357653	-0.477578570550669	-0.383284100376062	-0.305962634832884	-0.419115999042412	-0.0815417958173191	-0.422887777849397	-0.460605565919239	-0.471920902340192	-0.354995759323679	-0.149433814343036	1
dmnc	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	1.53421093839464	-0.127143723936473	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.127143723936473	-0.0520586649656202	1
geokpath	-1.02606385201407	-0.967086431129718	-0.334249343545212	-0.182593118414014	-0.490586316365645	0.472711558078817	-0.891258318564119	-0.760197383265553	-1.01576620709776	-0.539266092333684	-0.136721791059516	1
lincent	-0.828473726740353	-0.663284913497861	0.144311898388815	0.237172504776656	0.0262641151004309	0.54222493667897	-0.394474166414807	-0.137030125286033	-0.928565992782836	0.0251825914978929	0.238632616483093	1
semilocal	-0.405780029383036	-0.40396585947611	-0.335400446608505	-0.331933104556956	-0.371416824068082	-0.125117735167398	-0.394160703074392	-0.387292774141029	-0.405544422901617	-0.362915356863548	-0.261914785053933	1
coreness	-0.664177921120116	-0.482484177479431	-0.300790433838746	-0.119096690198061	-0.300790433838746	0.425984540723995	-0.300790433838746	-0.664177921120116	-0.482484177479431	-0.119096690198061	0.24429079708331	1
hub_score	-0.141854534008361	-0.141619004749701	-0.139217044170408	-0.138050751191472	-0.138672125761774	-0.100158398815099	-0.141715623542023	-0.139798635307668	-0.141888389039477	-0.141168091637716	-0.138143645279116	1
eccentricity	0.415385918927497	0.935165488883556	0.415385918927497	0.415385918927497	0.415385918927497	-0.104393651028562	0.935165488883556	-0.104393651028562	0.415385918927497	0.415385918927497	0.415385918927497	1
subgraph_centrality	-0.0893274200585615	-0.0893274135355617	-0.0893267927677052	-0.0893261272626993	-0.0893265114702078	-0.0891750284950264	-0.0893274173853566	-0.0893270357097662	-0.0893274201983285	-0.0893273739328094	-0.089326188988196	1
pc	-1.0058833769485	-1.0058833769485	1.43155194347157	1.91903900755558	1.83779116354158	0.93644789401124	1.62654676910517	0.82219311336655	0.619073503331543	1.39346701659	1.27921223594531	1
gilschmidt	-0.608695641667661	-0.536502067967658	-0.205486404987933	-0.162446292987494	-0.254315380846122	-0.0345553306007683	-0.426031753693073	-0.327068467233305	-0.643647458067654	-0.252974077184359	-0.154813798546703	1
spl_n	0.0453964499549964	-0.0827519945366049	-4.6041369965514	0.0102872870805841	0.514643915295655	-0.217112060152125	0.865600508797924	-0.223323681276067	-0.17403581801006	0.263073259776329	0.0101522518387603	0
degree_centrality_n	-0.286273631071896	0.28476043995382	-0.540244776893258	-0.159555396209448	-0.540244776893258	-0.159555396209448	-0.286273631071896	-0.349900086551353	-0.349900086551353	-0.223181851688905	0.221668660570829	0
average_neighbor_degree_n	-0.616107772163757	-0.659264307314946	-1.14022581932953	-0.708660358626383	-0.594269520198517	-0.0119161344587723	-0.972799220929351	0.0335802238021452	0.388451818237302	-0.800519689780372	-0.613867968248029	0
betweenness_n	-0.0782932170670069	0.726941586433313	-0.259264592921767	0.0150144573003934	-0.259264592921767	-0.220969132373351	-0.154603071139338	-0.218423906241523	-0.0272961721934399	-0.129310337820629	-0.111412550086342	0
eigenvector_n	-0.148621760986453	-0.164094514257364	-0.1777030803872	-0.171737681535765	-0.175000009032644	-0.136038497784207	-0.177516661673093	-0.16577228268433	-0.167077213683081	-0.176025311960234	-0.169966703751745	0
cluster_coefficient_n	-0.590894368992731	-0.126276930036389	-0.590894368992731	0.0131083016505133	-0.590894368992731	0.415776748746009	0.254710215512395	0.113777527435848	0.113777527435848	0.254710215512395	-0.211454679833591	0
harmonic_centrality_n	0.113196958427582	0.278835802793822	-4.57653895858481	0.145714843998318	-0.350380054375291	0.416122821573734	-0.629806684505867	0.414854530386287	0.370858607137345	-0.113989856893653	0.17358140986437	0
markovcent_n	0.0223695775258286	0.824619461627405	-1.64405117796102	0.394240054189242	-1.060389730221	0.590126247411145	-0.110574399174497	0.00548126832040308	-0.142707587523777	0.17577322740266	1.07603766939605	0
closeness_latora_n	0.113223108864973	0.278862778829253	-4.57653620852208	0.145741157129801	-0.350356216474831	0.416150482513437	-0.629784240847283	0.414882184887369	0.370886043106622	-0.113964839157309	0.173607861709498	0
closeness_residual_n	0.00759962741181165	0.249848521984749	-2.52256189933392	0.0502996943435162	-0.640242252156875	0.451761034699159	-1.0019052853048	0.452491278868108	0.389709497290305	-0.320299221398123	0.0949791073121089	0
communitycent_n	-0.51642647910199	0.0625142609698936	-0.51642647910199	1.86033202344312	-0.51642647910199	0.0625142609698936	-0.51642647910199	1.15705592594154	0.0625142609698936	4.82267454738551	1.47310796892282	0
diffusion_degree_n	-0.39184139187677	-0.198933943316886	-0.509647467333188	-0.369752752728692	-0.487558828185109	-0.172427576339192	-0.463997613093826	-0.310849715000483	-0.253419253215479	-0.412457455081643	-0.198933943316886	0
dmnc_n	0.35898235213825	-0.0671508804377849	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.0990689632820077	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.123265764231294	-0.104560802966791	0
geokpath_n	-0.231995107599663	0.0471088939233006	-1.15625312311419	-0.207884028934067	-0.822351215533052	0.306485649265322	-1.02327687107969	0.387586550231419	0.250226465712264	-0.630193224955724	-0.173544007804278	0
lincent_n	0.134166199818349	0.27193690996916	-4.72436708341654	0.171150572714599	-0.311440749198724	0.425028834907639	-0.59474181475562	0.43233355134105	0.374935786310887	-0.0832280364113334	0.171293906765852	0
semilocal_n	-0.34925753503787	-0.256609834664287	-0.43002923129135	-0.352544809261256	-0.411899275079829	-0.207939590862217	-0.420028018901473	-0.219125615869709	-0.244942915123762	-0.384288494765385	-0.289608027645891	0
coreness_n	-0.215698910844319	0.119417187291197	-0.718373058047594	-0.215698910844319	-0.718373058047594	0.119417187291197	-0.383256959912077	-0.215698910844319	-0.383256959912077	-0.215698910844319	0.286975236358955	0
hub_score_n	-0.148085208514807	-0.16357471709151	-0.177124716349312	-0.171123369298335	-0.174452705195505	-0.135467883564957	-0.176939961881781	-0.165262986694811	-0.166514217897894	-0.175493692440567	-0.169363327078308	0
eccentricity_n	0.186549824460118	0.186549824460118	-5.15803919400101	0.186549824460118	0.186549824460118	0.186549824460118	0.186549824460118	-0.576962892462901	0.186549824460118	0.186549824460118	0.186549824460118	0
