ACTG2	ACTN2	CAMK2A	DES	GRIN2A	LMOD1	MORF4L2	MPDU1	MYL1	MYOZ2	RGS3	SEMA3F	SHBG	TCAP	TNNT1	TNNT2	TNNT3	TTN	MYL5	RAVER1	MYL4	TNNC2	ITPKA	GRIN3A	MRFAP1	ING3	GLS2	OBSCN	if_health
spl	-0.613998059534678	-0.49104098661024	-0.0614817565715321	0.286349330039656	-0.467933327010192	0.0977178561466625	0.355064212534519	0.716881514166785	-0.11085917655899	2.33441768616984	-0.222992135249728	0.947836490906161	-0.199762856388637	1.01642975413998	-0.120345478921118	0.110123020774056	0.190026875285785	-0.291220540700391	0.606451225130784	0.170446174256274	0.140892693820434	0.154757289580458	-0.209370778011809	0.215445300845835	0.639045187092952	0.70253044136254	0.704233111017287	0.42183318685254	1
degree_centrality	0.128558769914825	0.644657306581628	0.128558769914825	-0.387539766751978	-0.0188153922912605	-0.314141654594437	-0.461515816800523	-0.534913928958064	-0.0927914423398056	-0.534913928958064	-0.387539766751978	-0.534913928958064	0.275932932120911	-0.461515816800523	-0.240165604545892	-0.240165604545892	-0.0188153922912605	0.275932932120911	-0.534913928958064	-0.461515816800523	-0.314141654594437	-0.314141654594437	-0.461515816800523	-0.461515816800523	-0.534913928958064	-0.461515816800523	-0.461515816800523	-0.461515816800523	1
average_neighbor_degree	1.09591676377301	-0.248404220207977	-0.559654542562374	-0.73493423136853	0.930565039008747	-0.296735029893727	-0.111869747548584	-0.584303246875059	-0.273260055799237	-0.954033811565344	0.360563751777891	-0.912952637710868	-0.748627942292964	-0.769168529220202	-0.165275273559403	-0.510357133937002	-0.753763089024773	-0.584303246875059	-0.78970911614744	-0.543222073020583	-0.430248844920774	-0.389167671066298	1.44921485892151	-0.481600312238869	-0.502140899166107	-0.707546768438488	-0.748627942292964	-0.563762659947821	1
betweenness	-0.0895607741143333	0.897852332397956	0.0162739913745707	-0.247231732377108	-0.125791778664883	-0.250721428780171	-0.250469466455204	-0.250839860020807	0.152257872187109	-0.250839860020807	-0.225228512453845	-0.250839860020807	1.22404005957652	-0.250439548990143	-0.167701492983086	-0.160882092525381	0.0691753549538555	0.447276931136259	-0.250839860020807	-0.249124355759093	-0.246012722437173	-0.103254548577036	-0.242729121839208	-0.246467277299856	-0.250839860020807	-0.250698463757748	-0.245854801382626	-0.240353506226189	1
eigenvector	0.0724521463703219	-0.128193992472894	-0.139907292022119	-0.141069680527004	-0.123902096454857	-0.134810665500701	-0.141069680527004	-0.142142654531513	-0.133201204493937	-0.142410898032641	-0.13650954100784	-0.142321483532265	-0.130071696980785	-0.142232069031889	-0.138029587514228	-0.140622608025125	-0.134989494501452	-0.126673945966506	-0.141695582029635	-0.139639048520992	-0.137314271511222	-0.139549634020616	-0.131591743487173	-0.141516753028883	-0.142142654531513	-0.142142654531513	-0.142142654531513	-0.141963825530762	1
cluster_coefficient	1.33442621380814	-0.402674356708503	-0.369954507805329	-0.559328249783801	0.049378542085037	2.28130770655591	-0.559328249783801	-0.559328249783801	0.252280806041316	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	0.292862111022933	-0.133233069380434	-0.102797090644222	-0.430208627266169	-0.559328249783801	-0.559328249783801	-0.559328249783801	0.860987597910154	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	-0.559328249783801	1
harmonic_centrality	1.07027486104355	0.883689998311269	0.302995667860561	-0.0784775326415329	0.852535514257136	0.110772692173759	-0.138792238236998	-0.467146846906254	0.361342104078878	-1.40480830061756	0.495033686502101	-0.642874925376666	0.468010888724826	-0.682878759157784	0.370428830459114	0.104778425923461	0.0334864661134164	0.584013123759104	-0.367659303625393	0.0295173917816034	0.0642540440978887	0.0544075230779619	0.473935997737789	-0.0181228140556943	-0.3862635848964	-0.444124985482379	-0.450824759177483	-0.214772799678382	1
markovcent	1.04197185025967	1.24439784668494	0.991945312417629	-0.00756496676507684	0.923675767127139	0.342770760105459	-0.307308316553427	-1.06485753184938	0.637173628873728	-1.67746042517873	0.074273110013564	-1.24244019834165	0.56484800452184	-0.459402441864956	0.513564410890736	0.393512452269078	0.573533538948321	0.947935992457943	-1.05512716570388	-0.333875897622419	0.30191655588399	0.0946931328134089	-0.2536587694376	-0.446609378035282	-0.970064634052172	-0.403169451460962	-0.422122868548962	-0.352525248139314	1
closeness_latora	1.07030423981824	0.883601464575757	0.303024392936082	-0.0784491341110823	0.852564707578909	0.110801253283575	-0.138763890045616	-0.467118777655547	0.361370879320519	-1.40478103105749	0.49506257455301	-0.642847007959337	0.468039755264716	-0.682850873760305	0.370457611879414	0.104728478608314	0.0335149621024297	0.584042087761974	-0.367631150199388	0.029545883301893	0.0642825656510796	0.0544360353373362	0.473964869367692	-0.01809436199152	-0.386235447746394	-0.444096897187706	-0.450796677054837	-0.21474451513077	1
closeness_residual	1.51948265600737	1.19903390831761	0.253651187711675	-0.322614756069889	1.1559426203469	-0.0431051531134373	-0.406464946777778	-0.868782976676509	0.349755143977472	-1.84118451053839	0.569085441658315	-1.09240680011595	0.517407102170408	-1.13449061603365	0.365863936109361	-0.0504708633434158	-0.152735329626251	0.703976399420032	-0.728363700973738	-0.166261549873268	-0.114427180000651	-0.126952653642279	0.532386019102666	-0.239216515441853	-0.746646157775394	-0.830601265466105	-0.843371545400988	-0.524426607798351	1
communitycent	1.32407778787953	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	0.126907633049567	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	-0.463477648784388	1
diffusion_degree	0.52571459210715	0.188140388882057	-0.234298837500182	-0.437974893077334	0.261690075618251	-0.339908644095742	-0.398371215603999	-0.466263234129716	-0.219211722272245	-0.483236238761145	-0.287103740797962	-0.481350349357653	-0.287103740797962	-0.458719676515747	-0.272016625570025	-0.351223980516695	-0.356881648727172	-0.19658104943034	-0.475692681147176	-0.437974893077334	-0.36442520634114	-0.356881648727172	-0.255043620938596	-0.432317224866857	-0.462491455322731	-0.453062008305271	-0.456833787112255	-0.439860782480826	1
dmnc	-0.102719306206787	-0.214905655225139	-0.214905655225139	-0.214905655225139	0.0643656176745642	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.095907877060657	-0.214905655225139	-0.214905655225139	-0.214905655225139	5.03244412563421	-0.214905655225139	0.0643656176745642	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	-0.214905655225139	1
geokpath	1.86382977131931	1.32179918890596	-0.103956557234875	-0.618838803050671	1.26094946894591	-0.364206128756313	-0.687177719313494	-0.953980337599862	0.0692311072668022	-1.03542534739254	0.487689950684367	-0.99985166495436	0.381905052907667	-0.982064823735269	0.128208528151157	-0.399779811194496	-0.448459587162535	0.633729278588484	-0.856620785663784	-0.469054876995166	-0.436289643170525	-0.450331886238228	0.377224305218433	-0.594498915066651	-0.838833944444693	-0.910917458858904	-0.912789757934598	-0.783601121711725	1
lincent	1.04024500556435	0.858873961453717	0.314138978881093	-0.0469490950825352	0.82619812059278	0.141263271306166	-0.111459535782052	-0.420131901848432	0.37063408328093	-1.36885377760571	0.504417534827583	-0.593556464799865	0.476054756770823	-0.641987413153364	0.381652515461621	0.128354917633773	0.0470418313546641	0.589778433488585	-0.331063690931686	0.0666796251086158	0.0966709998342769	0.0825478373285977	0.487743798866931	0.0218214435121609	-0.357793669004774	-0.40879346864079	-0.410142323738195	-0.172222363986217	1
