spl	degree_centrality	average_neighbor_degree	betweenness	eigenvector	cluster_coefficient	harmonic_centrality	markovcent	closeness_latora	closeness_residual	communitycent	diffusion_degree	dmnc	geokpath	lincent	semilocal	coreness	hub_score	eccentricity	subgraph_centrality	pc	gilschmidt
A1CF	4.4321500652974	0.000475	5	3654.13627	7e-05	0.166667	1858.303571	1.89615982548061e-05	1858.30357142857	405.01171875	3.03809523809524	24	0	556	1798.06195756991	10346	2	0.000406309739619905	8	3796083544632698	0.625	0.22681601018291
A2M	3.83307610115161	0.001544	14.769231	32561.107941	0.000163	0.025641	2172.505952	3.87117425056143e-05	2172.50595238095	616.47265625	0	205	0.319328367152189	2084	2079.08223378554	67658	5	0.00094966590720252	8	20657430431476196	0.840236686390533	0.265166111605129
AAAS	4.74225335391191	0.000237	14	0	3.4e-05	1	1733.021429	1.65569779038971e-05	1733.02142857143	328.5859375	0	30	0	268	1680.48390246345	8787	2	0.00019650480888598	8	927765859804178	0	0.211524646475225
AAGAB	4.22367327555503	0.000119	54	0	5.4e-05	0	1954.692857	1.02790409756853e-05	1954.69285714286	468.0703125	0	55	0	911	1886.81271081628	23760	1	0.000318370368394201	8	2318955886752906	0	0.238580844274722
AAK1	3.69440816811112	0.002612	30.772727	1312.015098	0.002046	0.510823	2264.236905	4.61903843312127e-05	2264.2369047619	681.73828125	3.88015174175263	699	0.200549769597684	2824	2157.11964136513	449678	13	0.0119734930163516	8	3278646626505358848	0.165289256198347	0.276362370897323
AAMP	4.67268194230084	0.000119	8	0	1.4e-05	0	1753.503571	9.24281505392383e-06	1753.50357142857	339.09765625	0	9	0	217	1705.50457340312	4678	1	8.40757317460812e-05	8	161705506876140	0	0.214024602884005
AAR2	4.90478451858008	0.000119	4	0	5e-06	0	1667.182143	8.16850122191696e-06	1667.18214285714	288.611328125	0	5	0	135	1624.7972551013	2162	1	2.80050263808767e-05	9	17937408405391.6	0	0.203488605255374
AATF	3.56321975543156	0.001187	41.9	4763.547346	0.001248	0.022222	2356.866667	3.85206046534888e-05	2356.86666666667	751.2890625	0	429	0	3573	2236.53913304235	271485	8	0.00726558241482918	8	1212759162255351808	0.48	0.287668334757293
AATK	4.75210732518105	0.000119	11	0	6e-06	0	1724.828571	9.42617231319886e-06	1724.82857142857	322.544921875	0	12	0	201	1676.99925050591	4124	1	3.43052135412588e-05	9	27102490484593.4	0	0.210524663911714
ABAT	4.03941588507658	0.000237	53	8192	8.7e-05	0	2051.615476	1.03792757298499e-05	2051.61547619048	533.66796875	2.75	108	0	1393	1972.87940865272	65399	1	0.000505772361084664	8	5854816841164790	0.5	0.250410774586886
ABCA1	3.62875460049863	0.0019	19.3125	38911.772729	0.000228	0.016667	2304.002381	4.2170196407566e-05	2304.00238095238	710.609375	2.24324324324324	325	0	3082	2196.14752167512	132665	6	0.00132943138394571	8	40505430843541608	0.84375	0.281215962523159
