gene	gene.y
ABHD16A	IFITM1
ACAN	MMP3
ACKR2	CCL13
ADAM12	SH3D19
ADAM15	SH3D19
ADAM17	SH3D19
ADGRB2	SHANK1
ADRB2	GNG3
AES	RUNX1
AGTR1	GNG7
AGTR1	GNGT1
AGTR1	GNG13
AHR	HSP90AA2P
AKT2	SH3RF1
ANAPC4	SLC25A23
ANXA5	IFNGR2
APAF1	CYCS
APAF1	CASP8
APBB1	LRP1
AQR	FIP1L1
AQR	CWC27
AQR	PPWD1
ARHGAP1	KIF1B
ARHGAP1	TAX1BP1
ARHGAP32	GRAP
ARHGAP32	MEGF10
ARL15	UBR1
ARL15	B4GALT3
ASIC3	STOM
ATF6	CREBZF
ATF7IP	MCAM
AURKA	PLK4
AURKB	CENPK
AURKB	CENPP
AURKB	NUF2
AURKB	CENPI
AURKB	KIF2C
AURKB	SKA1
AURKB	RACGAP1
AURKB	KIF2A
AURKB	CENPN
AURKB	CENPM
AURKB	CENPH
AURKB	SPC25
AURKB	SPDL1
AURKB	CDCA8
AURKB	CDCA5
BAAT	SLC7A11
BCL6	MAPK8IP3
BCL6	ZBTB7A
BCL6	BCOR
BCL6	EIF2AK3
BEX3	VTA1
BID	FADD
BID	CASP8
BIN1	CLTB
BLK	EPHA6
BMP2	CHRD
BNIP3L	DOK5
BRCA1	CCNE1
BRCA1	DCLRE1C
BRCA1	CCNA2
BRCA1	NBN
BRCA1	MSH2
BRCA1	KPNA6
BRCA1	E2F1
BRCA1	TOP2A
BRCA1	AURKA
BRCA1	BRCA2
BRCA1	ORC3
BRCA1	CHEK1
BRCA1	NUP153
BRCA1	RAD51
BRCA1	BRIP1
BRCA1	MSH3
BRCA2	DMC1
BRIP1	CLSPN
BUB1	NUF2
BUB1	SPC25
BUB1	CENPP
BUB1	CDCA5
BUB1	ZWILCH
BUB1	KIF2A
BUB1	CENPN
BUB1	SPDL1
BUB1	CDCA8
BUB1	CENPI
BUB1	KIF2C
BUB1	SKA1
BUB1	KIF2B
BUB1	PLK1
BUB1	AURKB
BYSL	TSR1
BYSL	RIOK1
C1D	EXOSC4
CAPNS1	GNB2
CAPNS1	CD3EAP
CAPNS1	DRG1
CASP8	PICALM
CASP8	PLEC
CASP8	CDH1
CASP8	RIPK1
CCL7	MMP1
CCL7	MMP3
CCNA1	MCC
CCNA1	ANAPC4
CCNA1	GANAB
CCNA1	MTHFD1
CCNA1	CDC25A
CCNA1	CABLES1
CCNA1	PAK3
CCNA2	CCNE1
CCNA2	MYBL2
CCNA2	E2F1
CCNA2	CDC25C
CCNA2	CDC6
CCNA2	ORC1
CCNE1	CABLES1
CCNE1	PAK3
CCNE1	MYBL2
CCNE1	CDC25A
CD14	EHHADH
CD2	CD5
CD2	CD247
CD2	CD48
CD2	CD53
CD247	CD8B
CD247	PTPN22
CD247	TRAT1
CD247	CD5
CD247	SEPSECS
CD247	SLA
CD48	CD244
CD5	CD6
CD5	CD79B
CD5	CD72
CD5	PRKCG
CD74	HLA-DRA
CD80	CD86
CD80	CTLA4
CD8A	SPNS1
CD8A	CD8B
CD8A	CD3G
CD8A	LGALS1
CDC14A	MAPK6
CDC25A	CDKN3
CDC34	TRIM11
CDC34	PPP1CB
CDC34	FBXW11
CDC34	UBR2
CDC34	RNF111
CDC34	RBBP6
CDC34	HERC2
CDC34	RNF217
CDC37	EIF2AK1
CDC37	HSP90AA2P
CDC37	AKT2
CDC37	POLR1E
CDC6	MCM8
CDC6	MCM10
CDC6	ORC6
CDC6	PPP2R3A
CDC6	CDC7
CDC7	MCM8
CDC7	ORC6
CDC7	DBF4
CDC7	MCM10
CDCA5	KIF2A
CDCA5	CENPI
CDCA5	KIF2C
CDCA5	SPDL1
CDCA5	CENPN
CDCA5	CENPP
CDCA5	CENPK
CDCA5	CENPM
CDCA5	SPC25
CDCA5	SKA1
CDCA5	CENPH
CDCA5	KIF2B
CDCA8	CDCA5
CDCA8	NUF2
CDCA8	DSN1
CDCA8	CENPK
CDCA8	SPDL1
CDCA8	KIF2C
CDCA8	SKA1
CDCA8	SPC25
CDCA8	CENPH
CDCA8	CENPM
CDCA8	KIF2A
CDCA8	CENPI
CDCA8	KIF2B
CDH1	CDC26
CDH1	ARHGAP32
CDH1	CSE1L
CDH1	ANAPC4
CDH1	SLC25A23
CDH1	FER
CDH1	GNA12
CDH1	KRT1
CDH1	CBLL1
CDK19	RB1CC1
CENPH	CENPM
CENPH	SPC25
CENPH	CENPN
CENPH	KIF2C
CENPH	SKA1
CENPH	CENPI
CENPI	CENPN
CENPK	SPC25
CENPK	CENPI
CENPK	CENPH
CENPK	NUF2
CENPK	SKA1
CENPK	SKA2
CENPK	CENPP
CENPM	CENPP
CENPM	CENPN
CENPM	KIF2C
CENPM	CENPI
CENPM	CENPW
CENPW	CENPP
CENPW	CENPI
CEP72	CEP89
CEP76	CEP152
CEP89	CEP152
CHEK1	RFC4
CHEK1	CDC25C
CHEK1	CDC25A
CHEK1	NBN
CHMP1A	VPS4B
CHRM4	EEF1A2
CLSPN	RMI1
CLTB	EPN2
CLU	LRP8
CLU	C8B
CLU	VLDLR
CLU	IGHG1
CLU	PON1
CNKSR1	RASSF1
CNKSR1	RHPN2
CNKSR1	RALGDS
COG4	COG8
COG5	COG8
COG5	COG4
COL5A1	SDC3
COL5A1	SPARC
CRTC2	SIK1
CRTC2	SIK2
CRX	BANF1
CRX	IPO13
CRY1	TIMELESS
CRY1	NPAS2
CRY1	PER3
CSE1L	PPP5C
CSF1	GAB3
CSF3R	SOCS3
CTLA4	CD86
CTLA4	TXK
CUL2	STOM
CUL2	UBE2U
CUL2	KCTD5
CUL2	CDC34
CUL2	EPAS1
CUL2	MRM3
CUL2	PFKFB3
CUL4A	DET1
CUL4A	USP7
CUL4A	DTL
CUL4A	HSP90AA2P
CUL4A	XAB2
CUL4A	AQR
CUL4A	DCAF4
CUL4B	WDR61
CUL4B	CUL4A
CUL4B	DCAF4
CUL4B	XAB2
CUL4B	AQR
CUL4B	USP7
CUL4B	COPS4
CYCS	PINX1
CYCS	SPNS1
DACH1	NCOR1
DAPK1	FADD
DARS	RARS
DAXX	MX1
DAXX	DEK
DAXX	HSF1
DAXX	HIST1H4D
DBF4	CLSPN
DDX20	PNKP
DDX56	MRPS5
DDX56	DHX37
DDX56	HIST1H2BC
DERL1	NGLY1
DERL1	SEL1L
DERL2	SEL1L
DERL2	SYVN1
DET1	UBE2U
DET1	CDC34
DET1	UBE2E2
DHX37	TBL3
DHX37	BMS1
DNAAF5	PNKP
DPP4	CCL5
DRG1	TAL1
DRG1	LYL1
DSN1	CDCA5
DSN1	SPDL1
DSN1	ZWINT
DSN1	SKA1
DYNLT3	DNAH2
E2F1	TEAD3
E2F1	MYBL2
EFNA5	EPHA10
EFNA5	EPHA8
EFNA5	BLK
EFNA5	EPHA6
EIF1AX	EIF5B
EIF4G1	UPF1
EIF4G1	GSPT1
EIF4G1	EIF4E2
EIF4G1	MCC
EIF4G1	ANXA5
EIF5B	RPL27A
EIF5B	RPL10L
ELAVL2	AQR
ELF4	FBXO4
ELN	FBLN1
ERBB2	CDC37
ERCC6	XAB2
ERCC6	CUL4A
ERCC6	USP7
ERCC6	GTF2E2
ERCC6	CUL4B
ERCC6	AQR
EXOC8	EXOC5
EXOSC4	UPF3A
EXOSC7	MPP6
EXOSC7	C1D
FANCD2	FANCE
FANCD2	RAD51
FBLN1	ECM1
FBLN1	MFAP5
FBN2	MFAP5
FBXW11	UBE2U
FBXW7	UBE2U
FBXW7	CDC34
FBXW7	FBXW11
FBXW7	UBE2E2
FCER1A	MS4A2
FCER1G	FCER1A
FER	TMF1
FGB	FGA
FGB	FBLN1
FURIN	SORL1
FURIN	NAGPA
FXR2	FMR1
FXR2	GKAP1
FZD10	WNT10B
FZD5	WNT10B
GALR3	GNAT3
GART	MTHFD1L
GEMIN5	STRAP
GGN	GGNBP1
GJA3	PRKCG
GNA12	HSP90AA2P
GNA12	GNGT1
GNAO1	GNG7
GNAO1	GNG3
GNAS	CRHR1
GNAS	HTR6
GNB2	NPY1R
GNB2	GNG7
GNB2	UTS2R
GNB2	TGFBR1
GNB2	GNA12
GNB2	AGTR1
GNB2	HTR1A
GNB2	GNGT1
GNG13	UTS2R
GNG13	TAAR8
GNG13	GHSR
GNG13	HTR5A
GNG13	NPY1R
GNG13	HTR1E
GNG3	LPAR3
GNG3	TAAR8
GNG3	TAAR1
GNG3	GALR3
GNG3	MCHR2
GNG3	UTS2R
GNG3	HTR6
GNG3	PTGFR
GNGT1	GALR1
GNGT1	HTR1B
GNGT1	HTR5A
GNGT1	TAAR1
GNGT1	GNAT3
GNGT1	GALR3
GNGT1	NPY1R
GNGT1	PTGDR
GNGT1	TAAR5
GNGT1	OPRK1
GNGT1	NPFFR1
GOLGA1	VPS51
GOLM1	SYT1
