gene	spl	degree	degree_centrality	average_neighbor_degree	betweenness	eigenvector	cluster_coefficient	triangles	pagerank	load_centrality	harmonic_centrality
1	A1CF	4.4321500652974	4	0.000475	5	3654.13627	7e-05	0.166667	1	8.5e-05	8523.216806	1858.303571
2	A2M	3.83307610115161	13	0.001544	14.769231	32561.107941	0.000163	0.025641	2	0.000239	71848.876023	2172.505952
3	AAAS	4.74225335391191	2	0.000237	14	0	3.4e-05	1	1	3.4e-05	0	1733.021429
4	AAGAB	4.22367327555503	1	0.000119	54	0	5.4e-05	0	0	2.9e-05	0	1954.692857
5	AAK1	3.69440816811112	22	0.002612	30.772727	1312.015098	0.002046	0.510823	118	0.00021	2624.264376	2264.236905
6	AAMP	4.67268194230084	1	0.000119	8	0	1.4e-05	0	0	3.2e-05	0	1753.503571
7	AAR2	4.90478451858008	1	0.000119	4	0	5e-06	0	0	3.5e-05	0	1667.182143
8	AATF	3.56321975543156	10	0.001187	41.9	4763.547346	0.001248	0.022222	1	0.000116	10865.613596	2356.866667
9	AATK	4.75210732518105	1	0.000119	11	0	6e-06	0	0	3.2e-05	0	1724.828571
10	ABAT	4.03941588507658	2	0.000237	53	8192	8.7e-05	0	0	6.9e-05	16384	2051.615476
11	ABCA1	3.62875460049863	16	0.0019	19.3125	38911.772729	0.000228	0.016667	2	0.000249	85489.003347	2304.002381
12	ABCA2	5.00059361272706	2	0.000237	8	1645.629608	1e-06	0	0	6.5e-05	5148.942481	1636.631746
13	ABCA7	4.66223435830464	1	0.000119	31	0	5e-06	0	0	3.5e-05	0	1761.154762
14	ABCB4	4.57105544342871	1	0.000119	12	0	1.5e-05	0	0	3.1e-05	0	1793.342857
15	ABCB6	6.26914401044758	1	0.000119	3	0	0	0	0	5e-05	0	1291.963095
16	ABCC2	4.4404606434762	2	0.000237	17.5	0	9e-06	1	1	4.4e-05	0	1853.175
17	ABCC9	4.59123827614864	3	0.000356	9.333333	16382	7e-06	0.333333	1	1e-04	32764	1789.692857
18	ABCD1	6.63920218449484	1	0.000119	2	0	0	0	0	6.4e-05	0	1218.169913
19	ABCD2	5.66662709248486	2	0.000237	5.5	8192	0	0	0	9.6e-05	16384	1435.626984
20	ABCD3	4.12133444141042	9	0.001069	12.111111	23747.56749	7.1e-05	0	0	0.000148	53480.221914	2013.440476
21	ABCD4	5.29656891843761	3	0.000356	2	8283.377878	0	0	0	0.000116	16891.007265	1539.749603
22	ABCF3	4.28149115517037	7	0.000831	6.285714	8421.807181	8.2e-05	0	0	0.000129	20514.170969	1929.720238
23	ABCG5	4.3330167398789	2	0.000237	35	8192	2.9e-05	0	0	7e-05	16384	1906.132143
24	ABCG8	5.30559183188888	1	0.000119	2	0	1e-06	0	0	4.8e-05	0	1537.167063
25	ABHD16A	4.05105069452689	9	0.001069	12.666667	30614.038579	0.000626	0	0	0.000203	62591.379582	2050.295238
26	ABHD5	5.17072302030155	1	0.000119	2	0	1e-06	0	0	4.9e-05	0	1575.195238
27	ABI1	3.92662946693577	7	0.000831	16	1457.882641	0.000223	0.047619	1	9.8e-05	3679.821176	2112.761905
28	ABI2	3.72658197791761	15	0.001781	22.466667	23012.197266	0.000233	0.038095	4	0.000196	49550.09291	2246.009524
29	ABI3	3.89861094621869	7	0.000831	20.285714	3837.095058	0.001318	0	0	9.6e-05	8642.848476	2130.716667
30	ABL1	2.97221892437374	148	0.017573	20.662162	881939.32318	0.00607	0.01526	166	0.00214	1712957.113292	2914.345238
31	ABL2	3.57948474415291	12	0.001425	53.916667	8542.936135	0.000407	0.151515	10	0.000168	19354.975845	2347.645238
32	ABLIM1	3.5626261427045	7	0.000831	73.428571	8854.65976	0.001232	0.095238	2	9.9e-05	17970.486903	2355.080952
33	ABR	3.89504926985635	2	0.000237	81	530.946748	0.000112	0	0	4e-05	1084.349259	2136.146429
34	ABRAXAS2	4.37195773477383	1	0.000119	35	0	3.9e-05	0	0	3e-05	0	1885.961905
35	ABT1	4.26427638608572	1	0.000119	78	0	9.2e-05	0	0	2.6e-05	0	1944.408333
36	ACACA	3.49661640745578	8	0.00095	63.375	19581.664041	0.000735	0.035714	1	0.000118	39433.495755	2397.907143
37	ACACB	4.44758399620088	2	0.000237	6	0	1.4e-05	1	1	4.8e-05	0	1847.141667
