prestige	stresscent	gilschmidt
1	12	280000	0.289279466210974
2	4	7375	0.224113935822105
3	64	378974	0.322959495039299
4	57	72033	0.252113156992308
5	62	97039	0.252295513591728
6	35	50147	0.274476178851849
7	90	1149434	0.330154661644937
8	74	445580	0.319391699069452
9	15	375277	0.268069722701708
10	65	428052	0.314416487942649
11	6	10196	0.22791877115385
12	43	566236	0.273454981895095
13	27	4456	0.233269254241424
14	62	268154	0.311729234596295
15	30	59926	0.24062120393134
16	88	3425286	0.298474307335507
17	67	827757	0.319861612410108
18	84	620025	0.320361167779675
19	90	1163712	0.331451355105673
20	53	69888	0.254584488500622
21	25	131430	0.258700662005296
22	37	144030	0.281116865151999
23	51	38146	0.248154929004423
24	61	486066	0.304132156951615
25	40	131736	0.297343841723167
26	27	2402	0.233269254241424
27	48	37549	0.248327114319413
28	89	1562190	0.328228220373933
29	13	51558	0.28829546709442
30	29	29055	0.234355547418526
31	74	627695	0.31195474650251
32	25	16562	0.242050560001852
33	9	252043	0.28603133918035
34	15	5397	0.243957530528374
35	32	162105	0.245844013181974
36	29	96144	0.233391309654582
37	34	71793	0.280522862141299
38	27	71370	0.245551370798522
39	259	18955430	0.385621000505644
40	35	176374	0.292830697517605
41	28	26985	0.238938437574462
42	39	175023	0.292603732570758
43	7	149290	0.222142256552735
44	59	183634	0.247376244529292
45	16	206144	0.263652043265721
46	13	95009	0.267625092268063
47	48	564807	0.291343655733969
48	7	157628	0.260815562646378
49	6	0	0.216779810097284
50	5	0	0.215080721250632
51	40	239436	0.290713036099321
52	61	167628	0.30712135214147
53	21	544587	0.30466745712075
54	43	21307	0.240282209551702
55	27	5980	0.239198967759929
56	28	36075	0.238116888400662
57	62	108811	0.255453116190926
58	41	200311	0.29557258519175
59	2	0	0.207253046057528
60	27	2402	0.233269254241424
61	6	2	0.154090071611126
62	45	383614	0.289164094784725
63	57	80347	0.254100335361764
64	1	0	0.222828430774243
65	70	576547	0.317397255496832
66	73	428050	0.304131285127234
67	36	356573	0.291326800462628
68	21	33645	0.274713896299377
69	18	106720	0.286377162850963
70	25	101318	0.243828209912052
71	6	58897	0.235301622174558
72	56	59773	0.249944929760003
73	29	129222	0.255185320802297
74	7	659	0.217397642974363
75	3	113906	0.262929736767143
76	45	305526	0.26964423753144
77	67	353615	0.31708775784204
78	47	814656	0.315114238054532
79	23	92136	0.287530005289047
80	16	279270	0.272812156719133
81	37	255592	0.288257397429842
82	95	1386730	0.317693966394056
83	52	66960	0.252843455214367
84	27	3670	0.233696302883412
85	39	283913	0.293999523402653
86	3	5301	0.218023225401484
87	13	133820	0.272105107147197
88	3	23734	0.255330188953389
89	44	24528	0.245307695884398
90	87	1124686	0.324492162298806
91	65	314374	0.31885029612966
92	20	316860	0.292353809581911
93	5	2006	0.212763702657525
94	41	436215	0.303217322569186
95	51	57765	0.251443886476828
96	7	82253	0.278788512841954
97	17	181275	0.274391902495143
98	12	217018	0.27671066473701
99	84	1206366	0.322147245325548
100	38	134923	0.297129372925762
101	6	335571	0.244671264087218
102	40	40635	0.254562111674876
103	32	91846	0.256729757690929
104	12	21491	0.232509895206708
105	57	466303	0.311312502542799
106	48	677321	0.31449931125872
107	18	220007	0.295368287678774
108	15	111425	0.280825966417307
109	50	62933	0.251685963046257
110	28	492868	0.284881693431656
111	65	164990	0.295712948916881
112	16	193678	0.273216247319122
113	28	69167	0.25713878862907
114	20	258969	0.308036186523898
115	9	163359	0.265804722963255
116	86	5202048	0.354052530324941
117	61	65463	0.302582053204513
118	76	398462	0.305852266452758
119	4	308119	0.224954955740385
120	42	907562	0.31483612607741
121	57	902661	0.283567854091451
122	36	635687	0.295848372303861
123	35	1013334	0.298275531376938
124	54	74873	0.254411867273442
125	71	345799	0.306955705509328
126	126	5975174	0.34872306789185
127	29	360616	0.312226755708976
128	32	509331	0.269264703318146
129	19	96788	0.287997303156564
130	11	40203	0.270613996849791
131	57	120662	0.254114575159965
132	8	263655	0.18265379466406
133	32	679538	0.272575020487856
134	51	63408	0.296246505437255
135	28	631199	0.27605243733034
136	75	2565575	0.328706561350261
137	6	9406	0.22781236014484
138	44	107820	0.285083666079617
139	24	215728	0.285522193742606
140	60	722159	0.3077168081928
141	45	1680554	0.31049444066652
142	7	128553	0.235175643551692
143	31	779196	0.303828762067477
144	5	0	0.23105685457388
145	13	191703	0.2628198868953
146	25	7343	0.230436115615537
147	8	104872	0.231897438579971
148	1	0	0.239721771779618
149	8	263655	0.18265379466406
150	35	1143625	0.306197508907117
151	20	412853	0.276449117423102
152	51	87384	0.290981848616394
153	3	150827	0.234114633281601
154	2	1271	0.223925331147963
155	6	112864	0.293707171627326
156	5	5756	0.253712082904673
157	5	11480	0.265798910800725
158	40	897383	0.309243082073524
159	33	94446	0.28457161456061
160	7	7050	0.223058883018609
161	13	38359	0.266717087176609
162	3	96516	0.224522385543993
163	1	0	1
164	9	14158	0.269550952322815
165	8	48570	0.233113052373394
166	10	70744	0.262028851574788
167	4	19177	0.214834673036806
168	20	124263	0.282737150761663
169	5	122639	0.230103369310619
170	97	1932108	0.321330636489897
171	56	95023	0.251257170755509
172	25	999164	0.323980401387924
173	5	9376	0.284164763183418
174	13	245483	0.26475199502477
175	32	765044	0.309139625580469
176	8	205061	0.29079048316505
177	8	8154	0.236321947306929
178	135	5319183	0.342691205616853
179	35	1299870	0.318259489808354
180	25	108595	0.261518398400476
181	1	0	0.175144674412348
182	56	253869	0.313551928766116
183	6	0	0.216779810097284
184	2	9136	0.207160923281406
185	10	34502	0.274350490837109
186	51	276062	0.283551725340427
187	63	1090919	0.278792000139474
188	27	232390	0.271690554654653
189	46	134741	0.288374803112973
190	6	2837	0.273464862571399
191	13	255342	0.279560658634241
192	4	37567	0.26312793150946
193	59	287631	0.310243645853292
194	41	257168	0.294310183489951
195	3	92935	0.249200537043803
196	25	20641	0.275991990840012
197	12	189395	0.273929835573905
198	3	4561	0.23026494742899
199	11	139128	0.283621616594867
200	114	6437547	0.348773924313999
201	72	293851	0.312484525117241
202	4	19039	0.248062806228301
203	3	178933	0.17419646853005
204	14	4391	0.245194504019102
205	78	747824	0.313176463066593
206	15	192422	0.283698046532155
207	55	17206	0.297141578467077
208	2	0	0.15758215976085
209	1	0	0.192326783026186
210	48	2311276	0.321561669950518
211	10	2444	0.239299227563595
212	5	147317	0.231721620663399
213	28	448026	0.298113372042313
214	44	275047	0.294068397528647
215	37	1205504	0.31636850272879
216	17	75269	0.276135551254537
217	3	8039	0.225406996681258
218	66	845126	0.315802979314489
219	17	195515	0.299125560147142
220	7	64491	0.282897711751592
221	3	8575	0.251526128576645
222	26	692255	0.286410873393644
223	24	429124	0.290051321395132
224	26	100686	0.279690560466814
225	10	240421	0.264425496794574
226	22	158507	0.295515916607071
227	70	370564	0.297879723108554
228	15	28080	0.246198264488259
229	18	240688	0.278761195678057
230	9	129	0.250924569754653
231	11	84045	0.255102933398414
232	40	169139	0.285765142136416
233	26	33115	0.247931596659156
234	11	52423	0.246759283476591
235	210	17333035	0.372996402271376
236	3	0	0.245743462770181
237	22	216327	0.287920292003023
238	61	94220	0.252979169209474
239	1	0	0.21467948829722
240	42	762982	0.313745473778407
241	24	1021840	0.3055355035948
242	10	15481	0.262023620628508
243	7	64708	0.260911463328143
244	17	134358	0.279215706788006
245	4	15954	0.239034628864354
246	27	223532	0.290963830912546
247	27	266004	0.260447507454081
248	5	51969	0.225213161060839
249	39	243511	0.294332850923823
250	28	13283	0.233302964784106
251	28	315846	0.287913026799861
252	8	191524	0.25568879938157
253	2	0	0.253566924145452
254	96	4156274	0.339990003080424
255	2	2106	0.23518131041016
256	13	117329	0.296136074349161
257	25	62993	0.254545692315725
258	59	1063491	0.314070083055781
259	40	802119	0.307257937960957
260	24	8935	0.232928370908963
261	2	3008	0.221231539118765
262	12	288281	0.282615821868825
263	59	238129	0.306519502711353
264	13	245880	0.284448687323074
265	10	128024	0.229964168017995
266	3	309	0.224821663479667
267	33	125778	0.260216328689399
268	154	9059341	0.357229748972681
269	37	1010691	0.318447803874368
270	1	0	0.185924346955123
271	3	61138	0.260140044056175
272	17	15178	0.261332409199473
273	4	18638	0.248754453569526
274	8	86353	0.284206610753644
275	1	0	0.221441503490209
276	22	180694	0.292100399295543
277	4	22711	0.241012507773759
278	30	568879	0.3080919832842
279	9	43494	0.254030298803261
280	2	666	0.233409182054364
281	64	613500	0.272696785292886
282	1	0	0.215064689368983
283	3	282	0.243095877433106
284	8	21197	0.245780805914444
285	37	799960	0.311307271596521
286	6	11973	0.263131418806978
287	21	241325	0.269146716418759
288	8	263655	0.18265379466406
