markovcent	closeness_latora	closeness_residual	communitycent	diffusion_degree	lobby	mnc	dmnc	geokpath	laplacian	leverage	lincent	semilocal	topocoefficient	clusterrank
C1QC	1.84878923407252e-05	1562.69368686869	285.777099609375	21.101938333615	41	3	2	0	258	94	-0.114055299539171	1509.12153404866	4151	0.282258064516129	6.83333333333333
HLA-DRA	2.29220469612384e-05	1707.14051226551	373.12646484375	19.7314452652848	72	5	6	0.0501750035468149	534	200	0.155736020252149	1640.81559341611	11219	0.151960784313725	12.8571428571429
CD2	2.85735874291589e-05	2009.93174603175	578.3642578125	17.730778121801	428	10	12	0.0315353252625132	2034	1066	-0.0215144229487917	1900.8277523166	185723	0.103929024081115	81.5238095238095
CD3E	2.7237581139668e-05	1934.77976190476	525.8701171875	18.5349174188209	321	9	9	0.0764779545510625	1579	752	-0.162197290979591	1837.81111326735	138532	0.148148148148148	93.3818181818182
C1QB	1.84247639603048e-05	1587.70995670996	299.38037109375	18.6065748305411	28	4	4	0	224	68	-0.117063492063492	1535.5072017295	4245	0.352941176470588	14
COL4A2	2.81102358979959e-05	1908.99567099567	507.95263671875	18.2700551568566	236	9	10	0.064138862685067	1455	682	0.148617506459525	1812.60188847773	48428	0.0894409937888199	24.7238095238095
ITK	2.95570834945505e-05	2082.43650793651	629.9736328125	17.6498400338507	718	15	18	0.0801115097722985	2528	1778	-0.125831585994502	1960.64469825058	341609	0.105112351078269	209.941520467836
COL1A2	2.86548963849039e-05	1945.7047979798	533.61865234375	17.9412563690403	309	11	14	0.0609447338446827	1690	858	0.0644186336332199	1842.87756624396	77629	0.0918560606060606	51.5
ITGB2	3.00059010996227e-05	2108.11706349206	647.2958984375	17.1017689327356	494	11	11	0.0547010257795201	2694	1690	0.390939308099461	1982.60446615492	181343	0.0487329434697856	14.0740740740741
CD5	2.89285243626743e-05	2107.2496031746	647.7509765625	16.9148963223061	638	12	13	0.0551790975027305	2686	1516	-0.198104155882519	1985.23667109217	280740	0.102347883597884	148.866666666667
DOCK2	2.14601856980012e-05	1867.64686147186	480.25439453125	16.9558146102964	146	4	2	0	1269	304	-0.740470757268425	1782.68946476752	56570	0.28	24.3333333333333
KIF2C	3.09618164716899e-05	2148.86865079365	676.9150390625	15.3467179143035	1347	27	33	0.0524027677311719	3027	3884	0.0253317190585328	2010.09777840668	488547	0.0917366946778711	631.618487394958
TRAT1	2.43217371530632e-05	1964.48888888889	547.0126953125	16.0656530660276	364	6	6	0.0501750035468149	1754	758	-0.699430218737619	1865.50589316786	160485	0.261695906432749	169.866666666667
CSF2RB	2.89575506397572e-05	2128.20634920635	662.8857421875	14.2367771330839	754	13	13	0.110358195005461	2775	1780	-0.157119359454536	2000.33246497219	322991	0.0984421165726565	127.514705882353
BUB1	3.14175320301713e-05	2146.23412698413	674.1845703125	12.8651718028772	1631	28	45	0.0849828285630051	2921	5424	0.220851755845331	1998.01132247969	587093	0.0764990328820116	614.076780758557
CD247	2.98307337440419e-05	2057.42579365079	610.8681640625	13.7204853106585	684	13	21	0.0557360628475267	2277	1968	0.245070002623234	1938.43837205336	320930	0.0813664596273292	120.84
SIT1	2.4502710546254e-05	2136.74007936508	670.0478515625	16.259439528914	623	6	6	0.0501750035468149	2895	1276	-0.847132883176244	2014.65905545313	305453	0.23585626911315	290.733333333333
RAC2	2.73964068217518e-05	1958.96031746032	542.0595703125	14.4761072279829	188	8	2	0	1803	532	0.18056718931826	1863.67030732395	58800	0.0894708128750682	2.41025641025641
COL14A1	1.58870863661516e-05	1711.61035353535	376.96630859375	12.6452091229123	53	2	1	0	597	108	-0.85054347826087	1645.71042951893	14147	0.544444444444444	0
JCHAIN	1.53729177020234e-05	1623.13455988456	321.86376953125	14.1033781815212	27	2	2	0	388	56	-0.723809523809524	1565.67408795327	8486	0.543478260869565	27
MRPL13	3.00614758379039e-05	1800.09285714286	431.3203125	14.2438615655005	2526	40	53	0.0831380525445594	814	7808	0.0783519245417344	1700.52804213803	323870	0.440192239231043	1825.75907111756
PIK3CD	2.86244101093781e-05	2132.55436507936	665.9775390625	12.4815272260226	723	14	14	0.0487557870757461	2833	1686	-0.189762001644615	2006.54862631542	332617	0.103190866510539	174.725
CD6	1.60079158406115e-05	1934.91428571429	527.4921875	12.8296730241825	136	3	1	0	1782	278	-0.377930119416188	1841.6829481736	58118	0.333333333333333	0
SPC25	3.0195884236918e-05	1871.28019480519	484.01904296875	13.1538198437256	968	24	25	0.0601704885632204	1280	2536	-0.158220424388043	1762.17844627074	324421	0.190505050505051	738.906666666667
TF	2.43525201926528e-05	1754.4674963925	404.26318359375	13.7720310148217	121	5	3	0	691	314	0.157693804839325	1679.31918666509	17743	0.133333333333333	13.4444444444444
CCNB2	2.61089565884667e-05	2047.49603174603	606.326171875	12.9792350808968	441	8	8	0.0620682809648148	2382	938	-0.690363225127325	1935.26937093423	200375	0.187934027777778	220.5
C1R	2.11601215589699e-05	1904.12142857143	504.46875	12.4942488283373	112	4	2	0.314253343630457	1487	244	-0.217273576097106	1819.91685350074	40850	0.20990099009901	22.4
SKA1	3.07543455226746e-05	1926.49924242424	520.28466796875	12.4343639819841	1173	25	33	0.0640478272269879	1519	3468	0.070564063774423	1809.77303564035	398635	0.147447525265613	731.818181818182
CD3G	1.89760705678769e-05	1791.12261904762	428.2763671875	12.9253384167711	111	3	3	0	845	228	-0.701082251082251	1717.12683206914	44901	0.391304347826087	111
